Entry Name,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
THI4_YEAST,3,2,2
VPS10_YEAST,7,2,4
AGA1_YEAST,1,1,4
EF2_YEAST,3,7,2
DBF4_YEAST,12,3,6
PYC2_YEAST,2,3,2
DBF20_YEAST,7,4,4
YPS1_YEAST,4,1,4
OAC1_YEAST,3,5,2
BTAF1_YEAST,5,6,4
MSB2_YEAST,7,1,4
MSS51_YEAST,6,1,2
NUD1_YEAST,8,1,3
IMB3_YEAST,4,2,2
RME1_YEAST,7,3,2
NDI1_YEAST,3,4,3
SRP21_YEAST,2,1,2
SSH4_YEAST,2,1,4
COX24_YEAST,4,1,3
PP4C_YEAST,8,3,4
DCUP_YEAST,2,1,3
RPC3_YEAST,4,1,4
KNS1_YEAST,3,6,2
ERG2_YEAST,1,1,2
ERG3_YEAST,2,3,4
MCM10_YEAST,6,4,5
TREA_YEAST,2,3,1
AAR2_YEAST,2,0,2
IRE1_YEAST,9,9,5
GPI3_YEAST,2,1,4
SMY1_YEAST,3,5,7
VA0D_YEAST,5,1,5
TFC1_YEAST,3,1,3
SAC1_YEAST,3,3,9
MVD1_YEAST,3,2,3
PSA5_YEAST,2,0,4
SP110_YEAST,7,3,5
ARP2_YEAST,7,3,4
PLC1_YEAST,6,2,2
YBT1_YEAST,3,5,4
MET4_YEAST,8,4,3
MDHP_YEAST,5,2,4
SFP1_YEAST,3,3,2
ASF1_YEAST,13,2,5
APE2_YEAST,2,3,7
CDC3_YEAST,7,6,11
CDC11_YEAST,8,7,16
DPH2_YEAST,1,3,2
ERG24_YEAST,1,2,2
HXT1_YEAST,3,6,2
HXT3_YEAST,4,4,2
HXT4_YEAST,2,5,2
CDC12_YEAST,8,6,13
EF1B_YEAST,4,2,3
FKBP2_YEAST,2,2,6
EUG1_YEAST,2,4,2
ERG1_YEAST,1,2,3
HS150_YEAST,1,2,4
HIR1_YEAST,7,2,4
HIR2_YEAST,7,1,4
IF2G_YEAST,3,5,6
HOG1_YEAST,12,6,2
KRE6_YEAST,2,1,7
MKK1_YEAST,5,6,4
MKK2_YEAST,5,5,5
MYO4_YEAST,6,4,9
NGG1_YEAST,3,1,4
NHP2_YEAST,5,1,3
EIF3C_YEAST,2,3,6
NUP2_YEAST,10,3,9
NDC1_YEAST,6,2,6
EI2BE_YEAST,2,3,4
EI2BB_YEAST,3,2,4
CBF3A_YEAST,4,3,8
NAB2_YEAST,4,7,2
PAN1_YEAST,8,3,8
PRP19_YEAST,4,3,6
PRP21_YEAST,3,1,5
KAR9_YEAST,4,0,7
ZUO1_YEAST,7,4,6
DUR1_YEAST,2,4,2
RPA12_YEAST,7,4,2
SPT16_YEAST,10,0,3
RPD3_YEAST,22,3,9
CDC5_YEAST,15,6,7
VPP1_YEAST,7,3,5
RPN2_YEAST,4,2,4
SMI1_YEAST,4,1,4
PAH1_YEAST,7,2,7
SNQ2_YEAST,2,3,3
MED17_YEAST,7,4,3
MED22_YEAST,4,1,3
UBP4_YEAST,9,1,5
SPS19_YEAST,3,1,2
SIP1_YEAST,3,2,6
SUA5_YEAST,5,6,5
SUV3_YEAST,5,4,3
IME2_YEAST,5,5,2
CBS_YEAST,5,2,3
STE14_YEAST,3,1,3
MED18_YEAST,8,3,3
PUB1_YEAST,5,3,4
HSP7F_YEAST,5,5,3
SWI3_YEAST,6,2,4
STH1_YEAST,11,9,4
PP12_YEAST,30,3,12
FIMB_YEAST,4,3,7
TOR2_YEAST,15,6,7
SEC17_YEAST,5,3,3
SPR1_YEAST,3,1,6
F26_YEAST,3,3,2
RU1A_YEAST,2,1,5
RTG1_YEAST,5,3,3
RTG2_YEAST,7,1,2
PEP7_YEAST,5,2,5
VATD_YEAST,4,1,6
FRDS_YEAST,1,2,3
GDA1_YEAST,3,3,3
YEF1_YEAST,3,3,0
CRH2_YEAST,3,2,4
ENOPH_YEAST,2,4,2
RAD23_YEAST,4,6,6
ANP1_YEAST,2,1,3
BRR2_YEAST,2,5,4
RAD24_YEAST,5,3,2
GLRX4_YEAST,4,5,4
TMT1_YEAST,2,1,1
ECM32_YEAST,2,7,2
CHD1_YEAST,12,12,7
ATC5_YEAST,5,11,10
KA122_YEAST,3,2,3
FLO1_YEAST,1,1,5
HBS1_YEAST,7,3,3
FADH_YEAST,3,7,3
TOA1_YEAST,5,3,3
T2AG_YEAST,4,3,3
TFB1_YEAST,5,2,5
MCES_YEAST,1,2,2
GPT1_YEAST,2,2,2
ALK2_YEAST,5,5,2
SLA1_YEAST,6,4,10
FRE1_YEAST,3,3,1
YSC84_YEAST,4,2,2
AFG2_YEAST,3,2,2
YME1_YEAST,7,5,3
CACP_YEAST,2,1,3
CDC13_YEAST,7,5,3
COT1_YEAST,4,2,4
COX13_YEAST,4,2,3
PEX2_YEAST,6,3,3
ELM1_YEAST,9,6,3
TMN1_YEAST,7,0,3
EMP24_YEAST,6,1,7
KU70_YEAST,10,6,3
SLX5_YEAST,6,2,4
MRE11_YEAST,21,11,6
TIM12_YEAST,2,2,4
RSC7_YEAST,3,1,3
ORC2_YEAST,4,2,6
GSP1_YEAST,7,2,3
PP2A4_YEAST,3,3,4
BCS1_YEAST,3,4,4
VATL2_YEAST,4,1,8
SEC6_YEAST,6,1,5
RAD5_YEAST,8,8,4
PEP12_YEAST,9,2,8
SEC8_YEAST,7,0,8
NFU1_YEAST,3,2,2
UGPA1_YEAST,5,3,3
RGT1_YEAST,4,5,2
RAD54_YEAST,6,7,2
RAEP_YEAST,4,3,5
SSO1_YEAST,11,6,7
BEM3_YEAST,4,2,5
HFA1_YEAST,3,4,2
DLD1_YEAST,1,4,3
DRS1_YEAST,2,4,2
TRS65_YEAST,5,0,3
KPR1_YEAST,4,4,3
TIM23_YEAST,3,2,4
PREP_YEAST,3,3,3
IMP3_YEAST,3,2,5
SKG6_YEAST,1,0,5
PTR2_YEAST,5,3,3
RSSA1_YEAST,5,1,4
MNS1_YEAST,3,2,3
SMC1_YEAST,7,7,4
SMY2_YEAST,4,0,4
RPC6_YEAST,4,0,5
SUI1_YEAST,3,4,2
VAM7_YEAST,10,3,6
VPS17_YEAST,3,1,5
SPT4_YEAST,13,4,5
SC61A_YEAST,5,5,4
SRPR_YEAST,2,4,4
STE5_YEAST,3,4,5
YPT7_YEAST,10,3,9
CGS6_YEAST,8,1,4
SWE1_YEAST,11,6,3
TYE7_YEAST,3,5,2
MRT4_YEAST,6,1,6
UFD4_YEAST,5,2,4
PRP40_YEAST,2,1,5
UBC6_YEAST,3,3,3
PRS6A_YEAST,4,3,4
PRS6B_YEAST,4,4,4
PRS7_YEAST,5,4,4
SUR1_YEAST,5,2,4
XRS2_YEAST,9,6,4
PDR5_YEAST,5,4,3
CSE1_YEAST,5,2,3
MED9_YEAST,5,2,4
DOM34_YEAST,10,2,2
MDL1_YEAST,1,3,2
CNS1_YEAST,2,3,2
BUD2_YEAST,7,1,4
DUT_YEAST,4,3,2
CBF5_YEAST,8,4,5
SNC2_YEAST,12,3,11
PPZ2_YEAST,1,3,2
SERC_YEAST,3,2,1
SEC3_YEAST,7,2,8
PLSC_YEAST,3,3,3
PRP8_YEAST,6,7,6
SKN1_YEAST,4,1,3
SLA2_YEAST,5,5,8
TFC4_YEAST,3,1,4
LHP1_YEAST,1,4,4
PACC_YEAST,8,3,2
PGM1_YEAST,8,2,2
DUR3_YEAST,3,3,3
HSP78_YEAST,5,3,3
XPOT_YEAST,2,2,4
SPC29_YEAST,2,2,5
NIP80_YEAST,3,1,9
SDH3_YEAST,4,3,4
MFT1_YEAST,4,2,5
RS3A1_YEAST,2,1,3
HIS5_YEAST,2,3,1
MSN2_YEAST,21,3,3
MSN4_YEAST,19,3,2
PAD1_YEAST,3,3,1
TRM2_YEAST,2,3,0
SEC66_YEAST,2,0,6
NPL4_YEAST,16,3,11
PEX6_YEAST,3,3,4
OSTB_YEAST,2,1,4
PMT1_YEAST,5,1,4
TIP20_YEAST,5,0,4
GCN1_YEAST,9,7,3
NUF2_YEAST,6,1,7
NIC96_YEAST,5,1,5
LTV1_YEAST,8,0,9
RPB7_YEAST,9,3,5
VPS35_YEAST,5,0,7
TFC3_YEAST,4,1,4
NCBP1_YEAST,9,2,4
YOX1_YEAST,4,4,3
MED20_YEAST,7,3,3
TGL1_YEAST,3,1,2
SIP2_YEAST,6,2,4
IF4B_YEAST,4,7,2
EDE1_YEAST,6,2,6
PIN4_YEAST,2,1,2
SAS3_YEAST,4,4,6
TOD6_YEAST,2,3,3
PP2C3_YEAST,1,3,2
UBX1_YEAST,10,3,3
YEL1_YEAST,4,1,4
SKT5_YEAST,1,1,4
PRX1_YEAST,2,1,2
PXA2_YEAST,8,5,3
ASH1_YEAST,4,3,4
URB1_YEAST,3,1,2
HCS1_YEAST,2,6,3
HSL1_YEAST,6,5,4
UTP11_YEAST,6,0,4
SLD2_YEAST,7,2,3
BMH2_YEAST,14,2,3
FAB1_YEAST,4,4,4
SCD5_YEAST,4,1,3
TSA1_YEAST,16,6,2
WHI3_YEAST,12,1,4
NOT4_YEAST,8,4,5
PEX5_YEAST,2,3,5
TOR1_YEAST,21,6,8
SPT7_YEAST,4,2,4
SC61G_YEAST,3,2,7
TOM20_YEAST,3,1,3
AP1S1_YEAST,4,1,5
PP2C1_YEAST,6,4,3
SGS1_YEAST,18,7,5
TAF14_YEAST,9,3,10
MDJ1_YEAST,6,5,3
MAC1_YEAST,4,5,1
ATG19_YEAST,5,1,5
UTP20_YEAST,4,1,6
RER2_YEAST,3,2,5
GCS1_YEAST,6,3,7
UPS2_YEAST,5,1,3
CENPC_YEAST,6,2,3
CBF3C_YEAST,2,1,2
CSG2_YEAST,5,2,5
SKI2_YEAST,6,5,2
SPT10_YEAST,6,3,2
LRG1_YEAST,8,2,7
TCTP_YEAST,3,1,5
RPC8_YEAST,4,2,3
MPE1_YEAST,6,3,3
NU120_YEAST,14,2,5
DEF1_YEAST,7,3,4
ASK1_YEAST,5,0,5
BDF1_YEAST,8,5,3
HES1_YEAST,6,3,4
KES1_YEAST,8,6,4
OSH1_YEAST,5,3,12
RS27A_YEAST,3,3,3
PMIP_YEAST,4,2,2
AP1B1_YEAST,4,1,4
NNK1_YEAST,3,7,2
KDX1_YEAST,5,6,3
MYO3_YEAST,9,5,7
LTHAD_YEAST,2,8,0
DHR2_YEAST,3,6,3
NDK_YEAST,7,3,3
CENPA_YEAST,6,4,6
MAOM_YEAST,3,5,2
GPX1_YEAST,2,3,3
YKT6_YEAST,10,2,14
LHS1_YEAST,2,5,3
VPS21_YEAST,8,2,9
YPT52_YEAST,7,2,6
DYHC_YEAST,8,5,6
SIS2_YEAST,3,4,4
MID2_YEAST,5,1,3
FRE2_YEAST,4,3,2
JEN1_YEAST,3,3,4
DOA1_YEAST,6,4,4
EAP1_YEAST,3,3,1
MIA40_YEAST,3,5,3
SDS22_YEAST,4,2,3
SN114_YEAST,5,3,7
EBP2_YEAST,3,2,3
MCD4_YEAST,3,1,6
RT22_YEAST,2,4,2
SRPB_YEAST,2,3,3
MCR1_YEAST,2,2,3
SHE2_YEAST,3,3,4
CUE2_YEAST,2,5,1
CAB3_YEAST,1,3,3
SRX1_YEAST,2,2,2
RRP14_YEAST,3,2,1
PSG1_YEAST,2,0,4
MUD2_YEAST,3,4,5
FRMSR_YEAST,1,1,3
DCW1_YEAST,4,1,4
SPC42_YEAST,2,1,4
VPS24_YEAST,6,1,4
TUL1_YEAST,4,3,5
T2EA_YEAST,3,2,4
PAN3_YEAST,5,5,3
SWD2_YEAST,5,1,4
RL14A_YEAST,5,2,3
AUR1_YEAST,2,1,4
DID4_YEAST,7,0,3
MIC60_YEAST,2,0,5
HEL1_YEAST,3,3,2
VPS51_YEAST,7,0,4
ALY1_YEAST,5,2,4
RQT4_YEAST,4,2,5
BCH2_YEAST,3,0,4
SA190_YEAST,4,2,3
SET3_YEAST,6,2,3
SPO14_YEAST,6,2,4
CAF4_YEAST,3,0,3
SPC34_YEAST,6,0,4
KAE1_YEAST,8,4,5
UTH1_YEAST,5,1,5
SHB17_YEAST,1,2,2
GLG1_YEAST,1,3,2
LAS1_YEAST,3,1,6
GPT2_YEAST,3,2,4
BET3_YEAST,6,0,8
DRE2_YEAST,4,5,4
GTO2_YEAST,2,2,1
RPF2_YEAST,4,3,2
NU133_YEAST,16,1,7
DAD2_YEAST,6,0,6
OMA1_YEAST,5,2,2
TGL4_YEAST,5,4,1
FLO10_YEAST,3,1,4
SYYC_YEAST,1,4,3
RM36_YEAST,1,1,3
LONM_YEAST,10,6,2
PGM2_YEAST,10,2,2
GEF1_YEAST,3,1,10
ADCS_YEAST,5,1,1
GLYM_YEAST,4,2,2
VPP2_YEAST,4,3,8
STT4_YEAST,10,2,3
DHSD_YEAST,3,3,3
QCR10_YEAST,4,0,3
GLY1_YEAST,2,2,1
CCL1_YEAST,7,1,4
VRP1_YEAST,5,1,4
NOP4_YEAST,2,3,2
PUR92_YEAST,2,2,2
GBLP_YEAST,12,5,4
AHP1_YEAST,4,1,5
BOB1_YEAST,7,1,10
CDC27_YEAST,6,0,3
KPR4_YEAST,4,4,2
MNN2_YEAST,3,1,2
YPK3_YEAST,1,4,2
ETR1_YEAST,3,2,2
HMT1_YEAST,6,5,1
PDX3_YEAST,2,2,1
ATPG_YEAST,1,1,4
AKL1_YEAST,4,5,4
BAP2_YEAST,4,2,3
TAT1_YEAST,5,2,4
RDH54_YEAST,8,7,1
SYG_YEAST,4,5,3
ATG42_YEAST,4,2,3
ATM_YEAST,8,7,4
ATR_YEAST,12,5,4
MAK5_YEAST,3,4,1
ARA1_YEAST,2,5,1
ARL1_YEAST,14,2,5
DPOA2_YEAST,3,1,3
SWD3_YEAST,3,1,3
DTR1_YEAST,3,1,3
SMP1_YEAST,2,5,2
TAF5_YEAST,5,4,4
KTR3_YEAST,5,2,5
MCM7_YEAST,9,6,11
FAT2_YEAST,2,4,3
GLU2A_YEAST,3,4,4
LDH1_YEAST,2,4,3
ERT1_YEAST,7,5,2
GPX2_YEAST,1,3,4
ISW1_YEAST,12,9,5
YPT10_YEAST,2,4,5
CHK1_YEAST,4,4,3
DUG2_YEAST,2,6,4
AP3M_YEAST,4,0,5
RTG3_YEAST,6,5,3
ECM21_YEAST,5,2,3
KMO_YEAST,6,4,3
CND2_YEAST,5,1,3
MAP2_YEAST,2,5,2
NU170_YEAST,10,4,5
ATG8_YEAST,17,2,10
STU1_YEAST,4,3,8
HEK2_YEAST,8,2,4
LSM2_YEAST,4,1,12
NCL1_YEAST,4,2,4
APN2_YEAST,1,7,1
POP8_YEAST,5,1,4
GPI18_YEAST,3,3,5
RCR1_YEAST,4,1,3
IMB2_YEAST,3,2,6
CDS1_YEAST,3,1,3
FAT1_YEAST,4,5,8
QDR3_YEAST,4,3,2
TCM62_YEAST,7,4,3
FL2D_YEAST,4,0,3
UBP14_YEAST,3,2,3
TRM7_YEAST,4,6,2
ALG14_YEAST,1,1,6
PFF1_YEAST,1,2,1
SLM4_YEAST,5,1,5
ECM33_YEAST,1,0,6
EIF3A_YEAST,3,2,9
IST2_YEAST,4,2,4
RFC5_YEAST,7,3,5
RXT2_YEAST,8,0,4
MMS4_YEAST,9,3,2
EXO84_YEAST,8,0,7
SIF2_YEAST,7,1,3
GID4_YEAST,5,0,5
PHO88_YEAST,4,0,4
CENPL_YEAST,8,0,3
AIM3_YEAST,2,0,2
ATG14_YEAST,7,0,5
SHE3_YEAST,4,2,3
CCZ1_YEAST,10,4,7
HSL7_YEAST,8,4,7
YPQ3_YEAST,2,2,4
INCE_YEAST,7,1,8
AMN1_YEAST,7,1,3
MKAR_YEAST,3,2,2
CSH1_YEAST,4,2,4
EXO5_YEAST,2,4,2
POP7_YEAST,6,2,3
MCFS2_YEAST,3,6,3
FZO1_YEAST,5,2,3
YPC1_YEAST,2,2,3
GDT1_YEAST,6,4,5
MED8_YEAST,6,5,3
DER1_YEAST,5,2,3
FTH1_YEAST,3,2,6
CENPU_YEAST,4,0,5
ATG12_YEAST,8,2,5
TYDP1_YEAST,1,5,2
CLPX_YEAST,4,2,3
SLX1_YEAST,4,3,3
ARPC1_YEAST,4,2,3
VHC1_YEAST,6,1,3
DPH7_YEAST,2,2,3
ENP1_YEAST,4,1,6
TRS20_YEAST,5,0,9
POP4_YEAST,6,3,3
RGD1_YEAST,4,7,5
NTM1_YEAST,2,1,2
MIC12_YEAST,2,0,4
KDSR_YEAST,2,2,5
REI1_YEAST,4,2,2
SDHF4_YEAST,4,2,2
HSM3_YEAST,2,1,3
PAF1_YEAST,20,3,3
SAF1_YEAST,3,1,2
SSH1_YEAST,3,3,4
BSD2_YEAST,4,0,5
ATU1_YEAST,4,5,2
PHO89_YEAST,3,2,2
TPS3_YEAST,2,3,2
TSL1_YEAST,2,2,2
CUE1_YEAST,2,2,6
SAP30_YEAST,9,2,4
IF5_YEAST,4,6,3
LEO1_YEAST,7,4,2
GRPE_YEAST,3,4,5
YPT31_YEAST,5,2,8
MSG5_YEAST,7,4,2
ERG7_YEAST,2,1,2
RIM11_YEAST,4,6,2
RCK2_YEAST,4,6,1
PSB1_YEAST,2,2,5
NCB5R_YEAST,3,3,4
URA8_YEAST,4,3,3
AGM1_YEAST,4,2,2
RFC3_YEAST,7,3,6
RFC1_YEAST,6,4,2
FKS1_YEAST,6,1,9
NSE2_YEAST,6,4,5
MED31_YEAST,8,1,3
SIC1_YEAST,2,2,2
ATX1_YEAST,3,2,1
STS1_YEAST,4,1,2
SRP72_YEAST,2,1,3
KPR3_YEAST,4,4,2
KSP1_YEAST,7,6,3
KIC1_YEAST,3,5,4
HXT5_YEAST,3,4,2
ARP1_YEAST,4,1,6
IMDH2_YEAST,2,5,2
APM2_YEAST,4,1,9
RS20_YEAST,2,2,3
LAG1_YEAST,1,1,3
STP2_YEAST,2,4,3
INM1_YEAST,5,4,2
RS27B_YEAST,4,3,2
RRP3_YEAST,3,5,4
OSH3_YEAST,10,3,6
GRE3_YEAST,5,3,3
SIP3_YEAST,2,1,5
DBP8_YEAST,5,4,5
6PGD1_YEAST,3,2,3
ARN1_YEAST,3,1,9
GOSR1_YEAST,6,1,6
RIM4_YEAST,5,3,2
NPR3_YEAST,11,0,3
HSE1_YEAST,9,4,5
RL14B_YEAST,4,2,3
OSH7_YEAST,8,6,6
NEM1_YEAST,5,2,7
TDA3_YEAST,1,1,3
VPS29_YEAST,3,0,5
RPN1_YEAST,3,2,6
RRM3_YEAST,8,7,4
PIH1_YEAST,7,0,4
BRL1_YEAST,4,0,4
SMF2_YEAST,5,4,5
CIC1_YEAST,4,6,3
RSC30_YEAST,6,4,3
MED6_YEAST,5,1,3
GIC1_YEAST,5,1,8
RPP1_YEAST,6,2,4
SSZ1_YEAST,8,6,2
RRP4_YEAST,11,1,5
TRM5_YEAST,3,2,4
PP2C7_YEAST,2,4,2
LAM4_YEAST,2,2,5
LRP1_YEAST,10,6,3
IPI1_YEAST,5,1,4
RPF1_YEAST,5,1,2
YNG2_YEAST,5,2,5
SFB3_YEAST,2,3,7
TRA1_YEAST,6,0,4
YPT35_YEAST,2,2,4
GGA2_YEAST,3,2,2
UBA4_YEAST,8,8,2
DNPEP_YEAST,1,3,3
BZZ1_YEAST,5,2,5
DMA1_YEAST,9,3,4
TOM71_YEAST,3,2,2
ORC6_YEAST,3,1,5
SET1_YEAST,17,4,3
NDT80_YEAST,4,2,1
ECM14_YEAST,2,1,2
WSS1_YEAST,7,5,3
ARO9_YEAST,7,5,2
CHS7_YEAST,5,1,5
DSE2_YEAST,3,1,5
RT107_YEAST,6,1,3
KEL1_YEAST,8,1,8
PEX18_YEAST,1,0,5
AP18A_YEAST,4,5,5
MPC2_YEAST,1,1,3
DNA2_YEAST,10,15,5
NMD3_YEAST,2,3,4
ATG7_YEAST,8,3,6
SPC97_YEAST,6,1,11
SVP26_YEAST,5,1,4
KOG1_YEAST,8,2,6
ELP5_YEAST,3,1,6
GPI16_YEAST,2,0,3
LNP_YEAST,4,1,4
NACA_YEAST,4,5,3
NVJ1_YEAST,4,1,5
UTP9_YEAST,4,2,6
RIX1_YEAST,4,1,4
RPN10_YEAST,3,2,4
MNL1_YEAST,7,3,5
SKN7_YEAST,6,4,2
SET5_YEAST,2,2,3
BCA1_YEAST,6,5,2
FLO5_YEAST,2,1,4
RPB11_YEAST,5,3,2
2A5D_YEAST,9,2,6
CENPN_YEAST,11,1,3
CH10_YEAST,5,5,2
FKBP3_YEAST,2,2,3
IF1A_YEAST,5,5,4
SPT8_YEAST,5,2,4
MLH1_YEAST,4,4,6
HRB1_YEAST,2,3,4
SMF1_YEAST,7,5,2
REV7_YEAST,2,0,4
AXL2_YEAST,1,1,6
ATC2_YEAST,3,4,3
CSK2C_YEAST,8,2,7
SSN2_YEAST,3,2,2
VPS45_YEAST,11,2,4
BFR1_YEAST,6,2,4
RAD55_YEAST,7,4,3
IPT1_YEAST,4,2,3
SNF11_YEAST,3,0,4
VPS41_YEAST,13,1,4
STN1_YEAST,3,2,2
RRP8_YEAST,3,2,3
TAT2_YEAST,3,4,4
SEC31_YEAST,6,1,5
HAL5_YEAST,4,5,1
TEM1_YEAST,8,2,1
SMC2_YEAST,7,6,5
SAK1_YEAST,6,5,2
AURK_YEAST,17,5,9
SUR2_YEAST,2,3,1
FET3_YEAST,8,3,4
MSS4_YEAST,4,4,2
ATU2_YEAST,5,6,3
NAB3_YEAST,8,3,4
LYS1_YEAST,3,3,2
UME6_YEAST,14,5,4
LCF3_YEAST,2,3,3
HXT6_YEAST,3,4,4
HXT7_YEAST,4,5,3
PSD1_YEAST,7,1,4
STT3_YEAST,3,2,3
POP2_YEAST,4,4,5
DUN1_YEAST,5,5,1
AKR1_YEAST,4,3,3
GDS1_YEAST,5,1,3
GAA1_YEAST,2,0,3
END3_YEAST,6,3,7
MET30_YEAST,11,3,4
STM1_YEAST,6,7,3
MPT5_YEAST,6,2,1
SSN3_YEAST,7,6,3
PCF11_YEAST,4,2,4
RGA1_YEAST,9,2,5
PIK1_YEAST,9,2,4
PLB1_YEAST,3,2,7
MNN9_YEAST,3,0,5
PEX7_YEAST,2,1,6
YCFI_YEAST,7,7,3
VATF_YEAST,4,1,6
DSS1_YEAST,2,3,3
TIM17_YEAST,4,1,4
RS14B_YEAST,5,3,4
DHH1_YEAST,15,5,4
LCF2_YEAST,5,5,5
IFH1_YEAST,5,2,5
FKHL1_YEAST,3,5,3
ILV3_YEAST,3,3,1
ATC3_YEAST,4,9,6
RCY1_YEAST,6,1,8
ACON2_YEAST,2,3,2
UBP12_YEAST,4,1,3
ELO1_YEAST,6,1,2
MST28_YEAST,3,0,6
FHP_YEAST,6,6,6
MBP1_YEAST,4,2,3
NPT1_YEAST,4,2,3
PO152_YEAST,5,2,8
VPS8_YEAST,5,3,6
ERP2_YEAST,5,1,6
NUP60_YEAST,13,2,7
SWD1_YEAST,3,0,3
SEN34_YEAST,1,3,4
BDH1_YEAST,2,2,1
GPB2_YEAST,5,2,3
FLC2_YEAST,7,1,4
OAF1_YEAST,8,4,3
GEM1_YEAST,7,3,5
MBO1_YEAST,8,3,5
GCSH_YEAST,3,1,3
ERV46_YEAST,3,0,5
RBG1_YEAST,2,2,3
IF2P_YEAST,6,7,6
MTW1_YEAST,6,0,6
SEC72_YEAST,1,1,4
RV167_YEAST,8,5,8
NOC2_YEAST,1,1,7
EXO1_YEAST,8,5,2
VPS52_YEAST,7,1,5
NPR2_YEAST,10,0,3
AFG3_YEAST,6,7,4
SSO2_YEAST,8,3,8
SLN1_YEAST,1,6,2
SNF7_YEAST,9,1,6
IF4F1_YEAST,8,5,6
IF4F2_YEAST,5,4,4
RSP5_YEAST,39,5,12
MIG3_YEAST,6,4,3
LIS1_YEAST,7,3,7
OXA1_YEAST,3,2,4
RPH1_YEAST,5,5,2
GDI1_YEAST,3,2,1
BEM2_YEAST,4,3,8
KC13_YEAST,4,5,5
PP2C2_YEAST,2,4,2
VAC8_YEAST,15,2,9
BOI2_YEAST,7,1,8
DLD3_YEAST,2,3,2
HPA3_YEAST,2,3,2
HAT2_YEAST,4,1,6
DPO5_YEAST,6,4,3
SPF1_YEAST,8,7,4
SNU13_YEAST,6,3,10
GEA2_YEAST,7,1,3
EAF5_YEAST,5,0,4
NPP2_YEAST,1,3,2
EDC3_YEAST,4,1,3
YND1_YEAST,4,6,3
NUG1_YEAST,3,4,3
RRAAH_YEAST,1,3,0
BIM1_YEAST,13,1,6
SPC25_YEAST,3,0,4
ISC1_YEAST,4,2,6
RPN3_YEAST,3,1,2
RSMB_YEAST,6,2,12
ZRG8_YEAST,1,0,6
ARB1_YEAST,4,2,2
YEN1_YEAST,3,6,2
TPA1_YEAST,5,4,2
JHD1_YEAST,2,6,1
VTC1_YEAST,6,1,9
ALDH5_YEAST,2,2,2
PTP3_YEAST,7,1,2
SERA_YEAST,2,3,1
UTP7_YEAST,5,0,5
GET2_YEAST,5,2,4
DOT6_YEAST,3,1,4
TSC11_YEAST,7,3,4
RT105_YEAST,7,2,2
NU157_YEAST,8,3,4
MAM1_YEAST,4,0,3
GLE2_YEAST,9,2,4
FLO8_YEAST,6,2,2
IMB4_YEAST,4,3,4
LSM4_YEAST,7,1,11
SLX8_YEAST,5,3,4
SHO1_YEAST,6,2,8
SCS2_YEAST,10,2,9
NSA2_YEAST,5,0,3
RTR1_YEAST,1,4,2
COX15_YEAST,1,2,2
DDI1_YEAST,5,6,2
LSM5_YEAST,5,1,9
SCC4_YEAST,7,2,2
PEA2_YEAST,12,1,7
COG3_YEAST,8,1,3
NCB1_YEAST,6,6,2
GPP2_YEAST,3,4,2
GMT1_YEAST,1,2,5
SSB2_YEAST,9,6,5
WRIP1_YEAST,5,6,2
PPN2_YEAST,2,2,4
RIO2_YEAST,4,5,5
RT106_YEAST,6,4,2
PP4R3_YEAST,5,2,3
ZC3HD_YEAST,3,0,3
PCL7_YEAST,6,2,3
CCS1_YEAST,3,2,8
RUXG_YEAST,6,1,15
GID8_YEAST,3,0,3
NDH1_YEAST,3,3,3
EIF3I_YEAST,4,2,6
LDO45_YEAST,1,1,3
LDO16_YEAST,2,1,2
PSA6_YEAST,2,0,4
PSA4_YEAST,2,0,6
TGL3_YEAST,3,2,1
SECU_YEAST,8,1,4
DOA10_YEAST,3,3,6
ELO3_YEAST,9,1,2
PRS4_YEAST,7,3,4
PEP8_YEAST,4,1,7
RFC4_YEAST,7,3,6
ATAD2_YEAST,10,6,5
YTA12_YEAST,5,7,5
VPS27_YEAST,12,7,5
ATG3_YEAST,7,2,5
PDAT_YEAST,4,2,6
RFC2_YEAST,9,3,5
RAD26_YEAST,5,6,3
ATF1_YEAST,1,3,3
MED3_YEAST,6,3,3
SEC9_YEAST,7,3,6
JEM1_YEAST,3,3,4
PSF2_YEAST,3,0,6
NAGS_YEAST,2,1,2
UTP18_YEAST,5,0,5
GPI7_YEAST,1,1,3
NUP82_YEAST,6,1,7
RIC1_YEAST,2,1,6
TPM2_YEAST,5,3,4
ATM1_YEAST,6,4,2
RPAB4_YEAST,14,3,8
VTH1_YEAST,3,2,6
BNR1_YEAST,7,3,4
UBP7_YEAST,2,1,3
PTPA1_YEAST,7,3,4
MLP2_YEAST,10,2,6
ATG32_YEAST,2,0,4
NDC80_YEAST,5,1,5
TM108_YEAST,4,4,4
CSM2_YEAST,6,0,4
FKH1_YEAST,14,8,2
MET18_YEAST,3,0,4
AYR1_YEAST,2,2,5
SIM1_YEAST,2,1,4
NU159_YEAST,8,3,6
SDP1_YEAST,3,3,2
SEC24_YEAST,5,3,6
MOB1_YEAST,6,3,9
SLM1_YEAST,8,3,3
DPH1_YEAST,1,3,2
XBP1_YEAST,7,3,4
FYV10_YEAST,4,2,3
PRK1_YEAST,6,5,3
LYS12_YEAST,4,4,1
