Entry Name,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
PBS2_YEAST,10,8,5
UCRI_YEAST,3,4,3
SWI5_YEAST,5,6,2
FUMH_YEAST,5,1,4
SYFM_YEAST,2,3,3
DCOR_YEAST,3,1,1
SPS1_YEAST,6,5,3
NUC1_YEAST,6,7,4
RPB2_YEAST,4,5,4
ERG20_YEAST,4,4,3
QCR8_YEAST,3,1,3
MET3_YEAST,4,2,2
GPA1_YEAST,5,6,6
ARO1_YEAST,4,7,1
LEUR_YEAST,5,6,1
FLO11_YEAST,9,1,5
CYAA_YEAST,4,3,5
CISY2_YEAST,3,2,4
MYO1_YEAST,6,5,7
EI2BG_YEAST,3,1,3
IF2B_YEAST,2,4,5
CDC6_YEAST,6,7,6
F16P_YEAST,6,2,3
PRTB_YEAST,4,1,3
C1TM_YEAST,3,4,2
SWI1_YEAST,7,3,3
KEX1_YEAST,2,1,3
DLDH_YEAST,10,5,5
TBA1_YEAST,7,4,6
TBA3_YEAST,7,4,5
CDC16_YEAST,7,0,4
TRNL_YEAST,6,5,3
RIR2_YEAST,1,5,3
HEM1_YEAST,3,2,2
SWI6_YEAST,5,2,4
RS25B_YEAST,1,1,2
RS21A_YEAST,3,1,2
RL11A_YEAST,3,3,3
RS28B_YEAST,5,1,2
YD14B_YEAST,5,8,2
YD15B_YEAST,5,8,2
YL12B_YEAST,5,8,2
YL13B_YEAST,5,8,2
YL14B_YEAST,5,8,2
YP12B_YEAST,5,8,2
YP13B_YEAST,5,8,2
YP14B_YEAST,5,8,2
YL21B_YEAST,5,8,2
YL22B_YEAST,5,8,2
YH41B_YEAST,5,8,2
RNK_YEAST,4,2,6
AQY1_YEAST,3,1,3
HAP1_YEAST,9,4,3
UBI4P_YEAST,2,2,3
RL40A_YEAST,6,3,4
RL40B_YEAST,6,3,4
HSP77_YEAST,12,8,7
IPB2_YEAST,4,2,5
RL43A_YEAST,1,3,2
RL43B_YEAST,1,3,2
RL44A_YEAST,3,1,2
RL44B_YEAST,3,1,2
RS23A_YEAST,4,1,3
RS23B_YEAST,3,1,3
RS24A_YEAST,2,1,3
RS24B_YEAST,2,1,2
RS4A_YEAST,2,3,4
RS4B_YEAST,2,3,3
RS6A_YEAST,2,1,6
RS6B_YEAST,2,1,5
RS8A_YEAST,2,1,3
RS8B_YEAST,2,1,3
RL23A_YEAST,1,2,2
RL23B_YEAST,1,2,3
RL1A_YEAST,2,2,2
RL1B_YEAST,2,2,2
RL2A_YEAST,3,3,2
RL2B_YEAST,1,3,2
RS11A_YEAST,3,2,3
RS11B_YEAST,3,2,3
RL18A_YEAST,1,2,2
RL18B_YEAST,1,2,2
RS16A_YEAST,2,2,3
RL12A_YEAST,3,2,2
RL12B_YEAST,3,2,2
RS18A_YEAST,3,2,5
RS18B_YEAST,3,2,4
YF21B_YEAST,5,8,2
YG22B_YEAST,5,8,2
ASP22_YEAST,2,1,3
ASP23_YEAST,2,1,3
ASP24_YEAST,2,1,4
MTCU1_YEAST,4,4,1
MTCU2_YEAST,4,4,1
RL19A_YEAST,1,2,2
RL19B_YEAST,1,2,2
RL35A_YEAST,2,2,3
RL35B_YEAST,2,2,3
MTAL1_YEAST,3,2,2
MTAL2_YEAST,3,5,2
ASP21_YEAST,2,1,5
SSBP1_YEAST,3,2,6
IF4A_YEAST,4,6,5
ADH4_YEAST,2,2,1
COX7_YEAST,3,1,4
PRI1_YEAST,3,3,3
MPPB_YEAST,1,2,3
HSP71_YEAST,15,7,8
