Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
WRP73_HUMAN,3,0,7
MDJ1_YEAST,6,5,3
STE5_YEAST,3,4,5
ISY1_HUMAN,3,1,7
ECI2_HUMAN,2,2,6
UQCC6_HUMAN,2,0,2
LNX1_HUMAN,3,4,3
RCC1_HUMAN,8,8,7
LORF2_HUMAN,3,4,0
HINT3_HUMAN,0,3,3
YBF5_YEAST,2,3,1
LGE1_YEAST,3,1,1
KCJ13_HUMAN,3,1,2
DHE4_HUMAN,3,6,2
TBC30_HUMAN,2,2,4
YP008_HUMAN,0,0,0
ARBK1_HUMAN,15,7,8
ZN615_HUMAN,1,3,1
CAB5_YEAST,2,2,7
VAM7_YEAST,10,3,6
YI023_HUMAN,0,0,0
YN009_HUMAN,0,0,0
YI100_YEAST,0,0,1
SGIP1_HUMAN,6,3,7
YC095_YEAST,0,0,0
YCV1_YEAST,1,0,2
LIPH_HUMAN,2,2,2
DISP2_HUMAN,1,1,2
MFAP3_HUMAN,3,2,3
QRI7_YEAST,2,4,2
AFF1_HUMAN,1,0,2
MACIR_HUMAN,9,0,2
CBPC4_HUMAN,3,3,1
ALS_HUMAN,2,1,5
LRFN1_HUMAN,1,0,4
STRN4_HUMAN,2,5,6
EAP1_YEAST,3,3,1
ERO1A_HUMAN,18,4,8
CRIS1_HUMAN,3,1,2
NCKX1_HUMAN,11,3,5
MKS1_HUMAN,18,0,7
PSMD7_HUMAN,1,1,10
SNA4_YEAST,0,0,2
HEM4_HUMAN,9,2,2
T2R20_HUMAN,0,2,2
GL1D1_HUMAN,0,1,2
VPK04_HUMAN,2,2,0
KCC4_YEAST,5,8,7
PLCG1_HUMAN,19,9,11
GEN_HUMAN,6,5,2
DDX42_HUMAN,3,4,8
FAKD3_HUMAN,4,1,4
ZRG17_YEAST,1,1,2
ANKH1_HUMAN,1,1,1
NSMA_HUMAN,4,3,4
S31D3_HUMAN,2,0,1
FANCM_HUMAN,5,8,5
SRPRB_HUMAN,2,1,5
PK3CA_HUMAN,49,9,9
CK021_HUMAN,0,0,1
BRP1_YEAST,0,0,0
PBP2_YEAST,3,1,3
ERIC2_HUMAN,0,0,0
DTX4_HUMAN,7,3,4
PRA14_HUMAN,4,0,1
PITH1_HUMAN,6,0,3
TPC3L_HUMAN,2,0,4
ZN624_HUMAN,1,3,1
FA83A_HUMAN,2,3,1
TBA1_YEAST,7,4,6
RL34A_YEAST,2,1,3
ARI2O_HUMAN,0,0,1
SAM15_HUMAN,0,0,0
ARF2_YEAST,3,2,3
CMC4_HUMAN,0,0,2
SNH28_HUMAN,0,1,0
FWCH1_HUMAN,2,4,5
K2012_HUMAN,0,0,0
LAT_HUMAN,15,3,8
LPAR5_HUMAN,1,1,1
OR2G6_HUMAN,1,2,1
WWM1_YEAST,1,0,3
TR10A_HUMAN,8,5,6
VTH2_YEAST,3,2,4
ARRC_HUMAN,3,3,4
ACTHR_HUMAN,4,3,2
PIGM_HUMAN,1,3,2
KCNH4_HUMAN,3,1,2
CDCP1_HUMAN,0,0,2
RL1D1_YEAST,3,1,4
OR2A4_HUMAN,3,3,6
NUCL_HUMAN,8,7,13
TPO1_YEAST,6,4,4
TVA86_HUMAN,1,0,1
CCDC9_HUMAN,0,1,1
BTAF1_YEAST,5,6,4
RIM3C_HUMAN,2,1,3
LRRT1_HUMAN,11,0,9
PTPRE_HUMAN,2,2,3
UBP7_YEAST,2,1,3
CAHM1_HUMAN,9,5,4
RN216_HUMAN,6,2,4
GAJU_HUMAN,1,0,0
NAPSA_HUMAN,3,3,5
GMEB2_HUMAN,2,5,4
RAD17_HUMAN,9,4,5
CALX_YEAST,2,3,2
DNJ5B_HUMAN,0,0,1
IL1AP_HUMAN,16,6,4
RPGP1_HUMAN,9,4,8
PHOCN_HUMAN,1,3,8
SFR19_HUMAN,3,3,1
IQCH_HUMAN,0,0,0
AKTS1_HUMAN,7,2,4
SYT12_HUMAN,4,5,4
LSS_HUMAN,4,1,3
BTBD9_HUMAN,9,0,2
NKD1_HUMAN,12,2,3
YK004_HUMAN,0,0,0
PP16B_HUMAN,10,3,6
MXRA8_HUMAN,3,0,6
ECM5_YEAST,6,2,4
F106C_HUMAN,0,0,0
DAD2_YEAST,6,0,6
TAF6_YEAST,6,7,5
TBC29_HUMAN,0,0,0
HOGA1_HUMAN,6,4,2
ARI4A_HUMAN,13,2,5
DAAF5_HUMAN,3,1,2
ZN213_HUMAN,1,3,1
YG063_YEAST,0,0,0
ICE2_HUMAN,3,0,7
SET5_YEAST,2,2,3
YH219_YEAST,0,0,1
GFA1_YEAST,6,2,0
FMP49_YEAST,0,0,1
PGBD5_HUMAN,1,2,2
NDUA7_HUMAN,3,1,3
DPEP1_HUMAN,15,8,9
DLG4_HUMAN,28,12,26
YGZ2_YEAST,0,0,1
RPC9_HUMAN,5,3,6
GIMA7_HUMAN,1,4,3
GPS2_HUMAN,17,5,6
ZN570_HUMAN,1,3,1
L1CAM_HUMAN,11,2,8
ES8L1_HUMAN,3,3,5
SVIL_HUMAN,5,2,12
LYZL1_HUMAN,0,1,1
T191A_HUMAN,0,0,1
OR1E3_HUMAN,1,2,1
CDHR4_HUMAN,2,1,1
CPNE5_HUMAN,3,2,4
VP35L_HUMAN,3,0,3
CGRF1_HUMAN,3,1,3
O6C76_HUMAN,0,2,1
YCH1_YEAST,0,3,2
HPLN4_HUMAN,7,2,3
TLR1_HUMAN,12,6,7
ZN774_HUMAN,1,3,1
TMM52_HUMAN,0,0,1
NET5_HUMAN,1,0,1
CNTN1_HUMAN,12,2,8
RIT2_HUMAN,14,7,11
NBP35_YEAST,2,6,5
DPOZ_YEAST,4,5,3
IF2G_YEAST,3,5,6
TVA21_HUMAN,2,0,1
VAV2_HUMAN,14,4,3
PDC1_YEAST,6,6,3
YEA8_YEAST,0,0,0
CHMP7_HUMAN,24,0,16
HEK2_YEAST,8,2,4
PPCEL_HUMAN,4,2,6
CL12A_HUMAN,1,3,3
PSMG2_HUMAN,4,1,3
M3K9_HUMAN,4,7,0
RS19A_YEAST,4,2,2
RRF2M_YEAST,4,2,2
GLC8_YEAST,4,2,2
CASP4_HUMAN,17,4,10
SG196_HUMAN,7,4,1
LIFR_HUMAN,7,5,4
CHCH2_HUMAN,6,2,3
MLP3C_HUMAN,8,2,8
GABP2_HUMAN,1,2,1
RCN2_YEAST,0,0,1
PKDRE_HUMAN,2,2,3
TIM44_YEAST,2,3,5
CNOT7_HUMAN,20,7,10
HIP1_HUMAN,17,14,16
YAE5_YEAST,0,0,0
PLP2_HUMAN,3,2,4
IL5RA_HUMAN,6,3,5
SNPC3_HUMAN,5,4,5
TUFT_HUMAN,0,0,0
RT28_HUMAN,1,1,3
NHLC2_HUMAN,0,0,3
UPK2_HUMAN,1,0,3
MOB1A_HUMAN,1,3,4
CEP95_HUMAN,0,0,3
EF1G1_YEAST,3,6,5
BCH2_YEAST,3,0,4
NTH1_YEAST,6,5,2
PSME3_HUMAN,4,4,7
TAF1L_HUMAN,4,6,2
NETO2_HUMAN,2,1,3
RIM3A_HUMAN,2,1,3
PLXD1_HUMAN,18,2,7
YM031_YEAST,0,0,0
REQU_HUMAN,13,4,8
CAN3_HUMAN,29,11,9
ROP1L_HUMAN,4,1,5
CHSS2_HUMAN,1,3,4
MRGRF_HUMAN,1,1,2
YE023_YEAST,0,0,0
F151B_HUMAN,1,0,1
DCP1_YEAST,5,2,5
HXB13_HUMAN,9,6,3
IRA1_YEAST,2,1,2
QNG1_HUMAN,2,1,0
DFM1_YEAST,3,2,2
M4A6E_HUMAN,1,0,2
IFIT1_HUMAN,10,1,3
CBS_YEAST,5,2,3
NICN1_HUMAN,0,0,2
YG3N_YEAST,0,0,2
TJB12_HUMAN,1,0,1
YM158_YEAST,0,0,1
DJC28_HUMAN,0,0,0
RORG_HUMAN,16,9,4
TTL12_HUMAN,4,3,7
ZNG1B_HUMAN,0,3,2
S22A9_HUMAN,4,3,1
NIT3_YEAST,4,2,2
HEY2_HUMAN,58,11,5
KVD08_HUMAN,2,0,3
FHP_YEAST,6,6,6
ATG23_YEAST,4,0,2
GEM1_YEAST,7,3,5
COQ6_HUMAN,1,4,6
TRGV4_HUMAN,2,0,2
ZFY_HUMAN,2,5,4
PBX2_HUMAN,9,6,3
ALG8_HUMAN,3,2,2
GAG2E_HUMAN,0,0,0
PP2A4_YEAST,3,3,4
SIN3B_HUMAN,2,2,9
KCTD6_HUMAN,4,3,2
VPS25_YEAST,5,2,2
NREP_HUMAN,3,0,1
THA11_HUMAN,7,6,3
CFA99_HUMAN,0,0,1
TEBP_HUMAN,16,6,7
KLH12_HUMAN,6,1,6
SUMF2_HUMAN,0,2,2
CYTF_HUMAN,4,4,8
YID2_YEAST,0,0,0
DOCK8_HUMAN,10,1,7
TYW3_YEAST,3,1,1
MTL26_HUMAN,0,0,0
PTGR2_HUMAN,1,1,1
DNJB1_HUMAN,8,9,11
RL21A_YEAST,1,1,2
FLCN_HUMAN,36,4,10
YC048_YEAST,0,0,4
RIOK1_HUMAN,4,6,4
R10B2_HUMAN,0,0,3
EMB_HUMAN,4,1,3
LRC61_HUMAN,1,2,1
D11L8_HUMAN,3,9,2
PPY2_HUMAN,0,0,0
SEM1_YEAST,10,2,5
HSPB8_HUMAN,2,2,5
FAS2_YEAST,1,6,3
S1PR5_HUMAN,3,2,3
OR2G3_HUMAN,1,2,1
ACM1_YEAST,2,1,2
RSF2_YEAST,3,4,3
GGACT_HUMAN,1,1,2
RT33_HUMAN,2,1,3
TBCD9_HUMAN,0,2,0
STC1_HUMAN,19,2,4
PIAS2_HUMAN,5,7,5
BAP18_HUMAN,1,2,4
ZN576_HUMAN,0,3,1
MED21_YEAST,6,4,3
TM181_HUMAN,0,1,1
MAGB2_HUMAN,1,0,1
H2AY_HUMAN,22,16,13
GOG8S_HUMAN,1,0,3
F90A1_HUMAN,0,0,0
RFX8_HUMAN,1,2,2
SCAM5_HUMAN,6,1,6
MED1_HUMAN,55,21,9
CHST9_HUMAN,6,3,3
H2AW_HUMAN,9,6,7
PSF3_YEAST,4,0,6
INY2B_HUMAN,1,0,1
PEPL1_HUMAN,1,3,2
ODC2_YEAST,6,4,2
OLM2B_HUMAN,2,2,2
CY561_HUMAN,3,3,3
NLGN3_HUMAN,22,4,11
TVBL3_HUMAN,3,2,2
PATE3_HUMAN,0,0,1
WSDU1_HUMAN,1,1,0
SYPM_YEAST,1,2,1
MFD4A_HUMAN,0,1,1
SH3B4_HUMAN,9,3,5
RT106_YEAST,6,4,2
MCM6_HUMAN,6,5,5
HXB9_HUMAN,8,4,4
CKS1_YEAST,5,5,4
CALC_HUMAN,21,3,6
NUP49_YEAST,9,5,5
PLK1_HUMAN,47,9,17
YA047_YEAST,0,0,1
MMS22_HUMAN,4,1,6
VAC14_HUMAN,3,2,9
TIGD6_HUMAN,0,1,1
LAMA5_HUMAN,20,1,13
KPCD3_HUMAN,4,6,3
GCP60_HUMAN,1,2,4
K0754_HUMAN,1,2,2
ITIH1_HUMAN,2,4,4
MSD7_HUMAN,0,0,0
GALP_HUMAN,7,1,1
FRE1_YEAST,3,3,1
PTRD1_HUMAN,0,1,1
COG5_HUMAN,6,0,7
CMIP3_HUMAN,0,0,0
FA24A_HUMAN,0,0,1
FITM1_HUMAN,5,3,1
HEG1_HUMAN,22,1,3
NR1I3_HUMAN,5,8,6
TAF1D_HUMAN,1,2,6
RTF2_HUMAN,4,1,2
CB092_HUMAN,0,0,1
RB8NL_HUMAN,0,0,1
CB081_HUMAN,0,0,0
CLRN3_HUMAN,1,0,2
HMMR_HUMAN,2,2,7
TMCO2_HUMAN,0,0,2
NSE5_YEAST,5,1,3
YL59W_YEAST,0,0,0
CF206_HUMAN,5,0,4
AAAT_HUMAN,9,11,5
YL171_YEAST,0,0,1
LPIN3_HUMAN,4,2,2
YD154_YEAST,0,0,0
STYL2_HUMAN,2,2,2
ELP3_YEAST,3,4,4
SAM11_HUMAN,2,3,2
UIF_HUMAN,1,2,2
TRPM8_HUMAN,5,4,4
HAL9_YEAST,3,3,2
CX066_HUMAN,0,0,1
YH213_YEAST,0,0,1
LCB4_YEAST,4,3,11
PACE1_HUMAN,6,2,6
LRC49_HUMAN,0,0,3
CF226_HUMAN,0,0,0
F157B_HUMAN,0,0,0
P5CR3_HUMAN,1,2,3
PEX10_HUMAN,8,3,2
RLA0_HUMAN,3,3,13
YBP2_YEAST,2,0,2
PK2L2_HUMAN,1,2,1
ZN485_HUMAN,1,3,1
FPR2_HUMAN,23,7,6
CIC_HUMAN,6,2,4
AGP1_YEAST,4,3,3
TTY12_HUMAN,0,0,0
TEST_HUMAN,2,2,6
OREX_HUMAN,17,3,6
GNAT2_HUMAN,23,6,7
CSRN2_HUMAN,3,5,2
PMF1_HUMAN,4,2,10
ZBED4_HUMAN,1,8,5
RS24A_YEAST,2,1,3
KLHL5_HUMAN,0,1,3
SC24C_HUMAN,4,2,5
KLF15_HUMAN,11,7,5
KDM4A_HUMAN,11,8,6
CAMP1_HUMAN,5,4,3
FBX36_HUMAN,0,0,0
AX2R_HUMAN,0,1,0
OR4Q3_HUMAN,0,2,1
S18B1_HUMAN,3,3,2
RER1_YEAST,2,0,5
RFPL2_HUMAN,6,4,3
ZP1_HUMAN,2,2,4
YI018_YEAST,0,0,0
EDE1_YEAST,6,2,6
CE170_HUMAN,0,0,6
QSOX1_HUMAN,3,3,11
IL36B_HUMAN,7,2,3
UBS1_YEAST,2,0,1
RBMX_HUMAN,10,6,11
RT23_YEAST,1,3,3
DB116_HUMAN,2,0,1
KIRR3_HUMAN,10,1,8
RS3A_HUMAN,6,3,13
CD123_YEAST,1,3,1
PPARG_HUMAN,70,28,7
PRY_HUMAN,0,0,0
IL11_HUMAN,11,3,3
NRG3_HUMAN,11,5,4
MAM3_YEAST,3,0,3
TJB26_HUMAN,1,0,1
RNZ_YEAST,2,2,3
B3GN6_HUMAN,5,5,2
LMCD1_HUMAN,3,2,3
YM35_YEAST,1,0,4
FMT_HUMAN,1,1,1
PHO88_YEAST,4,0,4
PGSF1_HUMAN,0,0,0
YCR41_YEAST,1,0,1
VPS18_HUMAN,13,5,15
GAL83_YEAST,7,2,4
NAC3_HUMAN,21,3,17
MCHR2_HUMAN,1,1,1
GTO2_YEAST,2,2,1
SCN7A_HUMAN,6,4,3
DEN1B_HUMAN,7,3,4
JMJD4_HUMAN,2,4,3
GRE2_YEAST,3,5,2
VKORL_HUMAN,3,2,2
REG1B_HUMAN,3,3,2
YP010_HUMAN,0,0,0
YG27_YEAST,1,0,0
PSD4_HUMAN,1,2,2
TLN1_HUMAN,9,8,10
CBPE_HUMAN,10,5,6
MA7D3_HUMAN,2,2,4
WDR12_HUMAN,5,1,4
PS1C2_HUMAN,0,0,1
PPAB_YEAST,1,1,3
YBM3_YEAST,0,0,1
PDP1_HUMAN,1,4,3
TLR4_HUMAN,86,9,11
SC11B_HUMAN,1,2,1
METK1_YEAST,4,3,3
CT141_HUMAN,0,0,1
CNR2_HUMAN,12,1,7
DRC8_HUMAN,0,1,3
ERCC2_HUMAN,31,9,10
MCRS1_HUMAN,17,4,10
SSDH_HUMAN,6,2,3
PALB2_HUMAN,10,1,5
NCPR_HUMAN,5,4,4
MRP8_YEAST,0,0,1
NGL1_YEAST,0,2,1
NHLC1_HUMAN,8,4,5
EMI1_YEAST,2,0,0
IFT81_HUMAN,7,1,10
ZN107_HUMAN,1,3,1
ZN883_HUMAN,1,3,1
O51D1_HUMAN,0,2,1
LGAT1_HUMAN,6,7,5
FGFR3_HUMAN,21,5,7
RDS2_YEAST,6,5,2
O13C7_HUMAN,1,2,1
PREP_YEAST,3,3,3
PTOV1_HUMAN,1,0,4
PHF19_HUMAN,4,4,3
GWL_HUMAN,10,6,5
LRRF2_HUMAN,2,1,0
CENP1_HUMAN,0,1,1
AUGN_HUMAN,5,0,3
FMP30_YEAST,3,2,3
C4BPB_HUMAN,7,0,3
T11X2_HUMAN,2,0,2
SERP3_HUMAN,1,1,1
KR122_HUMAN,0,0,2
SYDM_HUMAN,3,5,4
NYAP1_HUMAN,2,0,0
TRI49_HUMAN,3,3,1
IL15_HUMAN,28,2,8
COBL1_HUMAN,0,2,1
ATD3B_HUMAN,1,2,5
KI3S1_HUMAN,3,1,1
GCNT3_HUMAN,6,4,3
KINH_HUMAN,22,8,14
PKNX1_HUMAN,7,5,4
SC61B_HUMAN,4,4,7
SSUH2_HUMAN,1,2,2
YN60_YEAST,0,1,4
T2AG_YEAST,4,3,3
YL149_YEAST,0,0,0
IDI2_HUMAN,5,2,4
PSD3_HUMAN,1,1,2
CENPJ_HUMAN,19,6,8
KIF1B_HUMAN,9,6,9
SCGR9_HUMAN,0,0,1
KI13B_HUMAN,6,6,4
SIG15_HUMAN,3,0,2
YD186_YEAST,0,0,0
YGY5_YEAST,0,0,0
PYRD2_HUMAN,1,1,2
SNF5_YEAST,6,1,5
CCN1_HUMAN,30,4,3
SMC1B_HUMAN,2,3,6
TIM_HUMAN,18,2,5
FA32A_HUMAN,1,1,2
KR87P_HUMAN,0,0,2
PMP1_YEAST,1,1,2
Z354B_HUMAN,2,5,1
ZN350_HUMAN,4,6,5
GPX6_HUMAN,1,1,1
ZN728_HUMAN,1,3,1
TRFL_HUMAN,31,8,15
I17RA_HUMAN,18,2,2
YH028_YEAST,0,0,0
ATP19_YEAST,3,0,3
CACM_YEAST,2,2,2
HXC4_HUMAN,4,5,2
ASPN_HUMAN,4,1,4
P2Y10_HUMAN,2,1,1
T4S19_HUMAN,1,1,3
SOS1_HUMAN,34,7,7
GPI18_YEAST,3,3,5
FA50B_HUMAN,1,0,4
ENPLL_HUMAN,1,5,1
TRI18_HUMAN,6,8,7
KLH20_HUMAN,8,3,10
MCTS2_HUMAN,1,1,1
MPT5_YEAST,6,2,1
SSX4_HUMAN,1,0,1
CSH2_HUMAN,5,4,3
WASH2_HUMAN,7,3,9
GON7_HUMAN,1,0,5
RBM22_HUMAN,6,5,7
YAA4_YEAST,0,0,0
NECA1_HUMAN,2,2,3
ABHD1_HUMAN,2,2,1
ZN638_HUMAN,2,4,5
RGMC_HUMAN,10,4,7
DGKB_HUMAN,7,4,4
ADH4_YEAST,2,2,1
TSN31_HUMAN,1,0,2
FCAR_HUMAN,12,2,5
F10A1_HUMAN,3,3,3
RU2B_HUMAN,2,1,12
SIT1_HUMAN,4,2,2
IFI6_HUMAN,14,0,5
S17A4_HUMAN,4,4,4
VOPP1_HUMAN,0,1,7
MYO1B_HUMAN,5,7,14
GCNT7_HUMAN,1,1,1
AWAT2_HUMAN,5,4,1
YO019_YEAST,1,0,0
PAI1_HUMAN,27,3,8
IRC15_YEAST,6,4,4
LARP7_HUMAN,12,4,5
NMD3A_HUMAN,10,7,10
ETKMT_HUMAN,2,2,4
SMIP1_HUMAN,0,0,0
ADA10_HUMAN,28,11,24
PCD19_HUMAN,2,1,1
COIA1_HUMAN,11,2,7
ZFHX3_HUMAN,13,7,6
KELL_HUMAN,11,2,5
RWDD4_HUMAN,0,0,0
ACON_YEAST,2,7,5
CRACD_HUMAN,4,0,1
TPM3_HUMAN,2,1,8
METRN_HUMAN,4,1,1
ALK_HUMAN,19,6,4
MTAP_YEAST,3,2,3
BOB1_YEAST,7,1,10
STB4_YEAST,1,4,2
POMP_HUMAN,1,0,6
SAT2_HUMAN,4,3,2
YD34A_YEAST,0,0,1
ZNHI2_HUMAN,0,1,0
SMI44_HUMAN,0,0,1
ZN559_HUMAN,1,3,1
YG1T_YEAST,1,1,4
ADH2_YEAST,3,3,1
NKX25_HUMAN,65,12,9
HPS5_HUMAN,5,0,4
VN1R5_HUMAN,1,1,1
DHR2_YEAST,3,6,3
F86B1_HUMAN,1,1,1
O12D2_HUMAN,1,3,2
PBX4_HUMAN,7,3,3
ERD21_HUMAN,6,2,8
ULBP2_HUMAN,6,2,7
RASF2_HUMAN,16,1,8
ARHGB_HUMAN,8,3,4
NU133_YEAST,16,1,7
NAGPA_HUMAN,6,1,2
PRNT_HUMAN,0,0,1
CL050_HUMAN,1,0,0
ZN654_HUMAN,0,3,1
CGB7_HUMAN,5,1,2
SUPYN_HUMAN,1,0,1
ADRO_YEAST,2,2,2
PNMA2_HUMAN,1,0,1
KLF8_HUMAN,2,4,4
OR9G1_HUMAN,0,2,1
S2551_HUMAN,2,1,2
EMC6_HUMAN,3,0,4
DHR11_HUMAN,2,5,1
HDAC5_HUMAN,18,11,7
IRC6_YEAST,1,1,0
BBP1_YEAST,3,1,6
KDM5D_HUMAN,4,6,4
DPB3_YEAST,3,1,4
GOG6D_HUMAN,1,0,3
FCG3A_HUMAN,12,4,5
DEPD7_HUMAN,1,0,0
KLH13_HUMAN,3,1,2
CE058_HUMAN,0,0,0
KLK2_HUMAN,1,1,3
MYBPP_HUMAN,4,2,5
ATG39_YEAST,3,1,4
NEMF_HUMAN,5,3,4
LRC40_HUMAN,1,0,1
EPS1_YEAST,3,3,2
GIN1_HUMAN,1,1,0
GSTT4_HUMAN,1,1,2
GLI4_HUMAN,1,3,1
HV146_HUMAN,2,1,3
MBI3_YEAST,5,4,2
MICU1_HUMAN,11,5,7
LCL2_YEAST,1,0,1
TAAR1_HUMAN,4,2,3
SYEP_HUMAN,7,8,7
Z385D_HUMAN,0,2,1
DEN1C_HUMAN,2,2,5
P2RY6_HUMAN,12,4,3
SH3R2_HUMAN,8,5,2
PAQR3_HUMAN,5,1,2
TNR6C_HUMAN,4,1,3
YM16A_YEAST,0,0,1
VCX1_HUMAN,4,1,2
GIT1_HUMAN,18,5,12
VAB2_YEAST,2,0,4
T4S1_HUMAN,1,0,2
VBA3_YEAST,2,2,3
U2AFM_HUMAN,3,3,4
NCKPL_HUMAN,38,4,7
IP3KB_HUMAN,15,4,6
HV43D_HUMAN,1,1,3
DYH14_HUMAN,1,4,4
TOP1_YEAST,12,2,4
DUG3_YEAST,2,3,2
KCNJ5_HUMAN,7,3,3
AL1L1_HUMAN,4,2,3
CHK1_YEAST,4,4,3
CC50A_HUMAN,7,2,11
YE88A_YEAST,0,0,0
IGF2_HUMAN,29,8,3
ZCCHV_HUMAN,10,3,5
APRIO_HUMAN,0,0,1
FRMD8_HUMAN,3,0,4
TM213_HUMAN,0,0,1
LIRB2_HUMAN,28,9,7
LY96_HUMAN,11,4,5
MFSD8_HUMAN,26,3,4
SNF1_YEAST,18,9,8
MARK4_HUMAN,13,10,10
YL406_YEAST,0,0,1
TCEA2_HUMAN,4,2,4
REXO4_HUMAN,4,6,4
YB75_YEAST,0,0,0
PPR3C_HUMAN,3,5,2
NTF3_HUMAN,20,4,5
F221A_HUMAN,0,0,0
AT7L3_HUMAN,5,3,4
ALDH4_YEAST,4,2,2
KV228_HUMAN,2,0,4
AN32B_HUMAN,9,2,4
RTG2_YEAST,7,1,2
O10AC_HUMAN,1,2,1
YDR22_YEAST,1,0,1
CNOT3_HUMAN,7,0,5
SMBT2_HUMAN,2,3,7
ST1A3_HUMAN,9,4,2
YB8B_YEAST,1,0,2
RT01_YEAST,1,1,4
GREP1_HUMAN,0,0,0
ZN467_HUMAN,1,3,1
RT06_HUMAN,2,2,4
PAC2_YEAST,4,1,2
BOL3_YEAST,3,0,3
NPS3B_HUMAN,1,0,1
CNPY2_HUMAN,3,0,1
BOL2_YEAST,5,2,4
TMA64_YEAST,2,2,0
LTHAD_YEAST,2,8,0
OR4D9_HUMAN,0,2,1
MEP1_YEAST,2,1,2
SYNM_HUMAN,1,3,4
VPS64_YEAST,5,0,5
ST32B_HUMAN,2,5,0
FAR1_YEAST,6,2,5
HGB1A_HUMAN,1,1,2
GBRR2_HUMAN,5,5,9
MAS5_YEAST,13,6,6
UDB15_HUMAN,4,1,1
MKK1_YEAST,5,6,4
YMX2_YEAST,0,0,0
YN8P_YEAST,0,0,0
IRE1_YEAST,9,9,5
ITB1_HUMAN,68,17,41
YP13B_YEAST,5,8,2
ADY2_YEAST,6,2,3
AIM4_YEAST,0,0,1
CL036_HUMAN,0,0,0
FKHL1_YEAST,3,5,3
PP4R2_HUMAN,5,2,6
TM244_HUMAN,0,0,1
METL6_HUMAN,2,2,2
GNTK_HUMAN,2,2,0
PPM1D_HUMAN,11,5,4
CNFN_HUMAN,1,0,2
NDF2_HUMAN,17,6,2
MAGL2_HUMAN,8,1,4
EXOSX_HUMAN,22,7,12
VPS52_HUMAN,9,1,11
CI092_HUMAN,0,0,0
MOT4_HUMAN,4,4,6
CSCL1_HUMAN,1,4,8
LRIT1_HUMAN,1,0,2
ZCHC9_HUMAN,0,2,2
SIM35_HUMAN,0,0,1
STYK1_HUMAN,1,3,1
OR2W5_HUMAN,1,2,1
O52E2_HUMAN,0,2,1
VPS10_YEAST,7,2,4
GLO2_HUMAN,3,2,4
SMAG2_HUMAN,1,3,3
CAP1_HUMAN,9,2,10
SRSF3_HUMAN,5,4,3
TRM6_HUMAN,2,1,3
CAST2_HUMAN,2,1,1
PAR6A_HUMAN,9,2,11
SGE2P_HUMAN,1,0,1
OPI11_YEAST,0,0,0
KPR5_YEAST,4,4,2
VAS1_HUMAN,12,3,12
YMI4_YEAST,0,0,0
NSA2_YEAST,5,0,3
OR4D2_HUMAN,0,2,1
SAMD3_HUMAN,0,0,0
CRYM_HUMAN,5,5,6
LV460_HUMAN,2,0,3
NDUV1_HUMAN,4,5,4
TPO3_YEAST,2,2,3
YNL39_YEAST,0,0,1
AIM3_YEAST,2,0,2
SEC6_YEAST,6,1,5
YKN6_YEAST,0,0,0
CNG1O_HUMAN,0,0,0
HMSD_HUMAN,2,1,1
RMP1_YEAST,3,1,5
APOC4_HUMAN,3,1,3
YE008_YEAST,0,0,0
GBX2_HUMAN,14,7,2
GLUR_HUMAN,0,0,1
KNL1_HUMAN,8,1,8
TMM79_HUMAN,7,1,2
SNA3_YEAST,2,1,4
RAB37_HUMAN,1,2,6
MHP1_YEAST,2,1,3
NCKP5_HUMAN,2,0,1
PINL_HUMAN,0,0,0
YND3_YEAST,0,0,1
ZNF32_HUMAN,1,4,1
LIPT_HUMAN,3,2,3
MYNN_HUMAN,2,3,1
PI4P1_HUMAN,0,0,0
HYEP_HUMAN,6,3,1
Z705D_HUMAN,1,3,1
SPAS1_HUMAN,0,0,0
ANKR1_HUMAN,16,8,7
GIP3_YEAST,1,2,3
OST5_YEAST,1,1,3
RL27A_HUMAN,2,2,7
EPHB2_HUMAN,57,8,14
RT4I1_HUMAN,3,2,3
PAU23_YEAST,1,1,3
CFDP1_HUMAN,6,0,3
YL458_YEAST,0,0,1
PRP46_YEAST,1,0,4
YN25_YEAST,0,0,0
HIPK3_HUMAN,7,6,6
EHF_HUMAN,3,4,4
YO325_YEAST,0,0,0
MMP17_HUMAN,5,4,4
PLS3_HUMAN,8,7,5
LCE1A_HUMAN,1,0,1
O51H1_HUMAN,0,2,1
HXT15_YEAST,5,4,2
TECT1_HUMAN,9,0,5
SPN1_HUMAN,3,2,5
NPIA3_HUMAN,0,0,0
TF3C5_HUMAN,5,2,2
RT05_YEAST,2,2,3
TTC16_HUMAN,0,0,0
GTR12_HUMAN,3,3,4
P3H1_HUMAN,10,3,7
KCRM_HUMAN,2,2,2
SPA11_HUMAN,1,1,1
MED10_YEAST,5,1,3
TNR9_HUMAN,4,1,2
PCSK6_HUMAN,9,4,8
TEANC_HUMAN,1,0,1
SPI2B_HUMAN,3,1,2
RRAS2_HUMAN,4,3,6
WRIP1_YEAST,5,6,2
LMLN_HUMAN,3,3,5
RMD5A_HUMAN,2,3,6
FXRD1_HUMAN,1,1,3
SHO1_YEAST,6,2,8
YG045_HUMAN,0,0,0
MYCP1_HUMAN,1,4,1
NARR_HUMAN,0,0,1
PTN3_HUMAN,8,5,5
FA78A_HUMAN,0,0,0
