Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
CX024_HUMAN,0,0,0
INSL3_HUMAN,11,5,3
MO4L1_HUMAN,7,0,5
SYT3_HUMAN,3,5,4
IMP2_YEAST,2,2,2
E41L3_HUMAN,11,3,7
NUDC2_HUMAN,1,1,8
APOC2_HUMAN,21,6,8
PPR35_HUMAN,4,2,3
KLF17_HUMAN,1,6,2
PIN2_YEAST,0,0,3
YD433_YEAST,1,0,0
LEO1_YEAST,7,4,2
CU024_HUMAN,0,0,0
GDE_HUMAN,4,5,9
YE19_YEAST,0,0,0
CDYL2_HUMAN,0,2,1
MICA3_HUMAN,4,6,9
ZSWM8_HUMAN,4,2,3
YK53_YEAST,0,0,0
NACHO_HUMAN,2,1,4
RS14_HUMAN,7,4,11
SH3BG_HUMAN,0,1,1
MFA1_YEAST,1,1,3
SERC1_HUMAN,6,1,3
RHAS1_HUMAN,0,0,0
OPCM_HUMAN,2,0,3
LCMT1_HUMAN,8,3,2
MNT3_YEAST,1,1,3
NTA1_YEAST,2,2,1
GNAS2_HUMAN,19,7,7
M4K1_HUMAN,8,5,2
MTD2L_HUMAN,5,3,3
YMI9_YEAST,0,0,0
ZCH24_HUMAN,0,2,0
PRA10_HUMAN,4,0,1
B3GT1_HUMAN,4,2,2
MPO1_YEAST,2,1,2
CO7A1_HUMAN,5,2,8
DSC10_HUMAN,0,0,0
ACBP_HUMAN,5,4,6
YCZ1_YEAST,0,0,2
ARHL1_HUMAN,3,2,1
YGF2_YEAST,0,0,0
HV103_HUMAN,1,1,3
PT494_YEAST,1,1,2
ASML_HUMAN,2,4,1
WSB2_HUMAN,2,0,1
SL9A2_HUMAN,6,2,3
LAD1_HUMAN,0,2,3
YE11A_YEAST,1,1,1
MPC70_YEAST,3,1,5
APBB2_HUMAN,13,1,9
NTM2E_HUMAN,0,0,0
TM219_HUMAN,1,0,1
YP059_YEAST,0,0,0
OPRD_HUMAN,20,4,9
MA7D2_HUMAN,1,0,1
KMT5A_HUMAN,9,7,5
RS24_HUMAN,5,3,11
RPP21_HUMAN,3,3,3
MXR2_YEAST,2,2,1
SEC63_YEAST,4,1,6
SER33_YEAST,2,4,1
GAR1_YEAST,2,1,2
TNR11_HUMAN,27,5,4
IBP3_HUMAN,17,6,6
SE1L1_HUMAN,6,0,5
GCN5_YEAST,5,7,7
RM16_YEAST,1,2,3
RFC5_HUMAN,5,4,4
SPSB4_HUMAN,7,1,2
MRCKG_HUMAN,3,5,5
TAT2_YEAST,3,4,4
TPT1L_HUMAN,0,1,1
YA034_YEAST,0,0,0
SPDE2_HUMAN,1,1,0
PSMD1_HUMAN,2,2,11
SPOT1_HUMAN,0,0,0
NAA25_YEAST,3,0,2
LRCH4_HUMAN,3,0,2
PARP6_HUMAN,3,6,2
KHA1_YEAST,1,1,4
RB40C_HUMAN,4,3,4
AIM34_YEAST,0,0,2
MYO9B_HUMAN,6,11,11
WHAL1_HUMAN,0,0,0
KRA52_HUMAN,0,0,2
PTHD4_HUMAN,0,0,1
PLA2R_HUMAN,10,3,4
ST1A2_HUMAN,8,3,2
B4GT7_HUMAN,10,4,4
CDY1_HUMAN,1,3,1
F228B_HUMAN,0,0,0
YNO3_YEAST,0,0,1
OTUD5_HUMAN,10,4,2
GGT3_HUMAN,7,2,2
MYL6B_HUMAN,3,3,6
YI31B_YEAST,4,8,2
GSX2_HUMAN,14,2,3
LDH1_YEAST,2,4,3
KFA_YEAST,4,1,0
FUT9_HUMAN,16,4,4
SPB1_YEAST,3,3,3
ZN155_HUMAN,0,3,1
YM141_YEAST,0,0,1
PGAP2_HUMAN,1,0,3
YD249_YEAST,0,0,0
CP086_HUMAN,0,0,0
NSUN2_HUMAN,11,4,8
CK042_HUMAN,0,0,0
