Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
SO1BT_HUMAN,2,2,2
SUMO5_HUMAN,2,4,1
TM250_HUMAN,5,2,8
TGR3L_HUMAN,4,3,1
SIM22_HUMAN,5,0,2
IFNL4_HUMAN,6,2,2
MIDUO_HUMAN,4,1,2
DCDC1_HUMAN,3,2,5
DNS2A_HUMAN,4,2,2
ADAS_HUMAN,2,2,6
UBXN8_HUMAN,2,2,6
KIF2A_HUMAN,9,5,13
SGK1_HUMAN,19,9,8
KITM_HUMAN,6,5,3
FZD9_HUMAN,23,5,11
DX39A_HUMAN,3,6,5
PDLI1_HUMAN,10,5,8
BACH_HUMAN,7,5,5
GPR25_HUMAN,1,1,1
MYO1C_HUMAN,15,6,22
MYO1F_HUMAN,2,5,6
SNP23_HUMAN,8,3,16
HAX1_HUMAN,12,2,15
EYA2_HUMAN,8,3,4
PLM_HUMAN,9,3,7
AIP_HUMAN,4,5,5
CCL24_HUMAN,17,4,1
GTPB1_HUMAN,6,6,3
KCNK1_HUMAN,8,9,12
LEG9_HUMAN,44,5,5
STXB3_HUMAN,14,3,11
MASP2_HUMAN,3,6,3
AP4M1_HUMAN,10,2,9
ARVC_HUMAN,4,1,4
RB27B_HUMAN,5,6,15
HRK_HUMAN,4,0,2
AP3B1_HUMAN,31,2,10
ST2B1_HUMAN,6,7,6
TLR4_HUMAN,86,9,11
RHOD_HUMAN,11,4,6
APBB1_HUMAN,14,8,9
LEG8_HUMAN,3,2,5
NDUS8_HUMAN,4,3,4
HYAS3_HUMAN,6,2,7
TR10A_HUMAN,8,5,6
IKBE_HUMAN,1,0,4
GRM8_HUMAN,5,3,1
PSD11_HUMAN,4,1,10
PSD12_HUMAN,1,0,12
PSMD9_HUMAN,5,2,5
RN103_HUMAN,4,3,3
BMR1B_HUMAN,25,9,5
SIRB1_HUMAN,4,0,3
ATOX1_HUMAN,3,5,1
AGRP_HUMAN,11,3,3
PAR3_HUMAN,7,4,4
MEN1_HUMAN,20,8,14
CBX4_HUMAN,5,10,6
GET1_HUMAN,3,1,3
PGRC1_HUMAN,3,5,12
SPT5H_HUMAN,8,5,3
TAF4_HUMAN,10,3,9
GPR31_HUMAN,7,3,1
DFFA_HUMAN,7,3,6
RFXAP_HUMAN,3,1,3
HIP1_HUMAN,17,14,16
LFTY2_HUMAN,1,3,4
TULP1_HUMAN,11,2,9
CLIC1_HUMAN,5,3,15
TR11B_HUMAN,13,3,5
EIF3F_HUMAN,4,5,7
CACB4_HUMAN,20,2,8
WWP2_HUMAN,19,4,6
CDC7_HUMAN,9,7,5
UPK1A_HUMAN,1,0,7
BMAL1_HUMAN,26,12,8
PK3CD_HUMAN,36,5,5
ODPX_HUMAN,1,1,3
S28A1_HUMAN,8,6,5
ST1C2_HUMAN,2,2,3
MATN2_HUMAN,6,2,5
EAA5_HUMAN,6,5,3
FOXE1_HUMAN,16,5,2
LORF2_HUMAN,3,4,0
QSOX1_HUMAN,3,3,11
DCTN6_HUMAN,1,1,4
ACATN_HUMAN,2,2,4
WASL_HUMAN,18,3,12
PDE2A_HUMAN,28,12,12
FOXN3_HUMAN,4,3,2
IPO5_HUMAN,7,5,9
RPOM_HUMAN,2,6,5
EF2K_HUMAN,16,6,5
CCRL2_HUMAN,7,5,3
SAP18_HUMAN,7,2,7
EMAL1_HUMAN,5,3,6
IF2B3_HUMAN,7,5,5
DNM1L_HUMAN,20,10,16
RTCA_HUMAN,2,3,2
P3C2A_HUMAN,15,6,11
PLK4_HUMAN,6,4,10
SYT5_HUMAN,4,8,10
GFRA2_HUMAN,3,2,4
LST1_HUMAN,6,0,6
P85B_HUMAN,18,6,5
GOLI4_HUMAN,0,0,9
MANBA_HUMAN,3,2,3
TRAF5_HUMAN,14,6,5
AGRIN_HUMAN,10,7,8
PLOD2_HUMAN,4,3,4
MEIS1_HUMAN,15,5,3
EXOC5_HUMAN,12,1,4
ELL2_HUMAN,3,1,2
NPT4_HUMAN,9,7,6
BT3A3_HUMAN,3,1,3
BT3A1_HUMAN,6,1,2
NR5A2_HUMAN,16,13,5
NDUA4_HUMAN,3,2,4
PSDE_HUMAN,8,6,10
ZN593_HUMAN,3,3,3
BIN1_HUMAN,22,12,25
CLD5_HUMAN,23,2,10
IMA4_HUMAN,5,2,6
STK25_HUMAN,13,7,4
USP9Y_HUMAN,6,4,3
BCL9_HUMAN,7,2,4
FAAH1_HUMAN,5,5,6
KRIT1_HUMAN,11,3,6
UPK2_HUMAN,1,0,3
NCHL1_HUMAN,8,1,5
PESC_HUMAN,6,2,7
DLL1_HUMAN,66,5,6
CAC1A_HUMAN,7,5,8
RCAS1_HUMAN,3,1,2
SDCB1_HUMAN,19,14,21
PITM1_HUMAN,6,7,10
MPP10_HUMAN,5,1,6
NOP56_HUMAN,2,4,9
DDX3X_HUMAN,50,22,15
CXCR6_HUMAN,7,5,2
RNT2_HUMAN,2,4,8
CCL21_HUMAN,41,4,2
MFNG_HUMAN,5,2,2
ACKR2_HUMAN,6,4,9
GBRP_HUMAN,1,3,7
PODXL_HUMAN,9,0,14
FCN1_HUMAN,9,8,9
CCN1_HUMAN,30,4,3
PEX12_HUMAN,10,4,4
NPT3_HUMAN,3,3,3
PIR_HUMAN,3,3,5
CCL22_HUMAN,10,2,2
PEX7_HUMAN,7,3,4
IMA3_HUMAN,4,2,6
SARCO_HUMAN,13,2,3
TRI38_HUMAN,15,5,3
NFIB_HUMAN,37,6,5
E2F3_HUMAN,8,9,4
PPP6_HUMAN,5,3,4
WN10B_HUMAN,39,3,2
NDKM_HUMAN,6,4,4
EST2_HUMAN,3,3,3
P3C2B_HUMAN,6,4,8
MA2B1_HUMAN,5,3,8
WNT7A_HUMAN,57,4,12
F16P2_HUMAN,5,3,7
UBE2C_HUMAN,14,5,6
ACACB_HUMAN,20,5,5
PDXK_HUMAN,4,9,7
SCD_HUMAN,4,4,4
DLGP1_HUMAN,1,2,4
SH2B2_HUMAN,11,4,6
