Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
PK3CA_HUMAN,49,9,9
PK3CB_HUMAN,34,7,10
MTOR_HUMAN,88,13,17
PI4KA_HUMAN,7,4,7
EPS15_HUMAN,12,4,13
AF9_HUMAN,9,6,6
CASP3_HUMAN,57,12,8
CASP2_HUMAN,16,6,5
DPP6_HUMAN,3,2,3
RS27_HUMAN,5,4,9
MATK_HUMAN,2,3,2
TEC_HUMAN,8,4,3
TXK_HUMAN,9,2,6
ABL2_HUMAN,19,9,3
FRK_HUMAN,5,4,9
HELZ_HUMAN,1,5,4
CNDD3_HUMAN,6,2,6
I12R1_HUMAN,13,3,5
LIFR_HUMAN,7,5,4
LPPRC_HUMAN,6,6,13
THIM_HUMAN,5,5,2
RL35_HUMAN,3,3,6
WASP_HUMAN,20,7,10
CDN2A_HUMAN,14,4,4
CDN2B_HUMAN,19,2,3
CDN2C_HUMAN,8,2,3
PCP_HUMAN,9,2,6
CXCL5_HUMAN,9,3,2
NSG1_HUMAN,12,2,19
HD_HUMAN,17,10,18
ECE1_HUMAN,19,5,11
MTHR_HUMAN,13,7,1
EAA1_HUMAN,26,6,10
EAA2_HUMAN,22,7,12
EAA3_HUMAN,58,11,27
SATT_HUMAN,15,11,8
GDF5_HUMAN,20,4,3
LIS1_HUMAN,52,10,22
GUC1A_HUMAN,6,3,3
PF2R_HUMAN,11,1,3
PE2R3_HUMAN,9,1,3
PE2R2_HUMAN,9,1,1
PI2R_HUMAN,8,2,2
MUC18_HUMAN,6,0,5
DCC_HUMAN,12,1,6
CACP_HUMAN,4,3,6
CAH7_HUMAN,6,2,2
GLP1R_HUMAN,12,4,2
CATO_HUMAN,2,1,2
CATK_HUMAN,18,7,9
MATR3_HUMAN,6,5,4
MSH2_HUMAN,27,10,6
GRK6_HUMAN,5,3,3
BTD_HUMAN,2,1,4
ETV4_HUMAN,3,4,5
GPDM_HUMAN,3,2,2
SSRA_HUMAN,2,0,3
CRBB2_HUMAN,2,3,0
RAD52_HUMAN,9,3,4
AL3B1_HUMAN,8,5,7
NR4A2_HUMAN,27,11,7
MAGA1_HUMAN,2,1,3
MAGA2_HUMAN,7,3,2
MAGA3_HUMAN,5,2,2
MAGA4_HUMAN,3,1,1
MAGA6_HUMAN,2,1,1
MAGA8_HUMAN,1,1,1
MAGAB_HUMAN,1,1,4
MAGAC_HUMAN,1,1,1
PTN9_HUMAN,4,2,3
ZAP70_HUMAN,22,5,7
KSYK_HUMAN,79,16,8
RANG_HUMAN,3,4,6
TNR4_HUMAN,7,2,3
NAMPT_HUMAN,8,3,4
KI2L1_HUMAN,3,1,1
KI2L3_HUMAN,2,3,2
KI3L1_HUMAN,3,2,1
KI3L2_HUMAN,2,1,1
KI2S2_HUMAN,3,1,2
KI2S4_HUMAN,1,1,1
AFAM_HUMAN,3,1,5
LPAR6_HUMAN,3,1,1
ACHA4_HUMAN,20,4,9
PRS6B_HUMAN,3,3,9
GATA4_HUMAN,39,14,5
NKX21_HUMAN,40,9,4
EFTS_HUMAN,4,2,2
TNNT3_HUMAN,5,4,2
TNNT2_HUMAN,9,5,6
ACY2_HUMAN,4,5,2
MMP13_HUMAN,9,6,3
ABCG1_HUMAN,21,12,8
PPIC_HUMAN,2,2,3
VDAC2_HUMAN,7,8,10
ACDSB_HUMAN,2,5,2
CBX5_HUMAN,4,8,15
UBP5_HUMAN,7,5,4
MK08_HUMAN,30,9,7
MK09_HUMAN,19,5,8
MP2K4_HUMAN,17,7,5
KI67_HUMAN,4,3,6
KPB2_HUMAN,4,2,3
KPB1_HUMAN,3,2,3
S15A1_HUMAN,5,4,4
RAGP1_HUMAN,8,5,17
RECQ1_HUMAN,4,9,5
NOP2_HUMAN,7,2,3
GPR3_HUMAN,6,1,2
CML2_HUMAN,3,4,4
CCR10_HUMAN,5,3,4
GPR4_HUMAN,11,1,1
XCR1_HUMAN,9,3,2
5HT3A_HUMAN,3,6,7
ATRX_HUMAN,23,11,10
CRK_HUMAN,45,14,9
CRKL_HUMAN,49,7,6
IF2M_HUMAN,3,6,3
BAG6_HUMAN,29,12,8
GSTM5_HUMAN,1,2,2
NSF_HUMAN,11,10,7
CDN1B_HUMAN,46,13,7
NOTC1_HUMAN,161,11,17
ASMT_HUMAN,5,5,1
BKRB1_HUMAN,10,2,2
IEX1_HUMAN,16,0,4
SO1A2_HUMAN,5,5,4
MP2K3_HUMAN,20,6,4
BRCC3_HUMAN,15,7,9
RL27A_HUMAN,2,2,7
RL5_HUMAN,12,7,13
RL21_HUMAN,2,2,7
RL28_HUMAN,2,2,10
RS9_HUMAN,4,4,14
RS5_HUMAN,6,4,13
RS10_HUMAN,2,2,9
MAP1B_HUMAN,29,5,20
GNPI1_HUMAN,7,3,3
NEDD4_HUMAN,31,10,13
YAP1_HUMAN,53,8,10
UTRN_HUMAN,5,5,13
IQGA1_HUMAN,18,15,23
3HAO_HUMAN,9,3,2
GLYG_HUMAN,1,4,7
STT3A_HUMAN,4,2,4
GALR1_HUMAN,6,4,2
MSS4_HUMAN,4,2,2
CASA1_HUMAN,4,0,2
PA24A_HUMAN,19,11,10
RPGP1_HUMAN,9,4,8
CAZA2_HUMAN,3,1,8
CAPZB_HUMAN,8,3,15
RGR_HUMAN,4,2,1
IF1AX_HUMAN,2,4,5
GBRA2_HUMAN,5,5,14
GBRB2_HUMAN,9,5,12
GLR_HUMAN,14,3,3
SCTR_HUMAN,9,3,2
AL1A3_HUMAN,18,6,3
SYQ_HUMAN,7,4,5
5HT5A_HUMAN,7,5,4
P2RY1_HUMAN,31,9,11
V1BR_HUMAN,13,3,3
CDX1_HUMAN,7,8,2
RL29_HUMAN,3,4,5
ID4_HUMAN,23,3,3
LEG7_HUMAN,2,1,4
TISD_HUMAN,22,3,3
UCRI_HUMAN,3,4,4
XDH_HUMAN,27,10,4
XCL1_HUMAN,40,4,2
TNFL6_HUMAN,27,4,10
SC6A8_HUMAN,7,3,3
MTR1A_HUMAN,5,4,2
ATPO_HUMAN,4,1,6
KCNJ1_HUMAN,2,4,2
KCNJ4_HUMAN,3,2,5
KCNJ6_HUMAN,3,2,3
CBPA2_HUMAN,2,3,3
GRIA4_HUMAN,4,5,8
LIMS1_HUMAN,13,2,6
SDF1_HUMAN,39,6,4
S6A12_HUMAN,6,3,5
S6A11_HUMAN,5,4,6
SC6A9_HUMAN,10,2,14
NPBW1_HUMAN,4,4,4
NPBW2_HUMAN,2,4,3
PPCE_HUMAN,1,3,4
MAOX_HUMAN,10,10,3
CXA8_HUMAN,4,2,2
GLRB_HUMAN,12,7,11
GBRA4_HUMAN,5,4,10
IREB2_HUMAN,10,6,3
AT5G3_HUMAN,1,2,3
T4S4_HUMAN,1,0,1
REG1B_HUMAN,3,3,2
TFPI2_HUMAN,3,2,2
LEPR_HUMAN,25,5,4
RFX2_HUMAN,5,6,3
RFX3_HUMAN,14,6,4
RFX5_HUMAN,4,6,5
PI42A_HUMAN,9,4,7
SOX2_HUMAN,31,8,7
SOX9_HUMAN,132,12,5
RXRG_HUMAN,4,7,4
COPD_HUMAN,7,1,6
AL3B2_HUMAN,5,3,2
LSS_HUMAN,4,1,3
PP2BC_HUMAN,7,5,7
GSH1_HUMAN,33,6,3
GSH0_HUMAN,21,4,2
CD151_HUMAN,6,1,6
PCP4_HUMAN,2,2,4
KCNJ5_HUMAN,7,3,3
GIPR_HUMAN,17,5,2
KCNC1_HUMAN,18,5,10
KCNJ3_HUMAN,8,4,7
INAR2_HUMAN,9,6,3
NRIP1_HUMAN,7,9,8
TPC10_HUMAN,5,0,4
PSMD8_HUMAN,1,0,7
SPB4_HUMAN,3,3,3
SPB10_HUMAN,1,1,6
PRC2A_HUMAN,1,1,5
GSHB_HUMAN,4,6,2
TCPE_HUMAN,9,9,6
NMU_HUMAN,8,4,2
PTSS1_HUMAN,1,3,2
EAA4_HUMAN,10,6,7
K2C6C_HUMAN,3,1,4
NEST_HUMAN,12,2,3
HSP13_HUMAN,2,5,7
GCST_HUMAN,2,2,4
KC1A_HUMAN,16,5,10
KC1D_HUMAN,20,7,11
IDHP_HUMAN,6,3,5
PK3CG_HUMAN,40,10,6
PIPNB_HUMAN,4,6,4
MASP1_HUMAN,3,6,4
LHX1_HUMAN,68,6,4
CCN3_HUMAN,27,5,10
B3A3_HUMAN,8,4,3
SL9A3_HUMAN,4,5,9
T23O_HUMAN,5,6,1
TNNI2_HUMAN,4,2,3
AGRE5_HUMAN,7,3,5
TRPC1_HUMAN,7,7,3
DPOD2_HUMAN,5,1,4
MRP_HUMAN,4,2,4
HCAR3_HUMAN,1,2,2
PAXI_HUMAN,10,5,8
CAMLG_HUMAN,11,1,5
NR2C2_HUMAN,7,9,2
MAPK2_HUMAN,23,9,6
NPY2R_HUMAN,4,4,3
DNSL1_HUMAN,2,3,4
AL9A1_HUMAN,3,5,4
PTH2R_HUMAN,4,3,1
RL34_HUMAN,2,3,8
TGM4_HUMAN,1,2,4
CX3C1_HUMAN,51,8,8
RPIA_HUMAN,3,3,3
LMAN1_HUMAN,8,3,11
NRAM1_HUMAN,37,6,9
NRAM2_HUMAN,21,15,27
MTR1B_HUMAN,15,2,2
NASP_HUMAN,8,2,5
FMO5_HUMAN,4,7,3
FAS_HUMAN,13,11,8
PO3F4_HUMAN,5,4,2
CDK8_HUMAN,4,7,8
FNTA_HUMAN,8,8,6
FNTB_HUMAN,2,2,3
DHYS_HUMAN,7,2,2
TCPG_HUMAN,8,6,7
ARRB1_HUMAN,19,8,14
EFTU_HUMAN,3,4,6
AMPH_HUMAN,3,1,6
AL7A1_HUMAN,4,4,5
UB2R1_HUMAN,12,3,4
CY561_HUMAN,3,3,3
DHE4_HUMAN,3,6,2
CENPA_HUMAN,6,4,8
CENPF_HUMAN,16,5,20
SRP09_HUMAN,2,3,3
UBE2A_HUMAN,11,5,6
PCY1A_HUMAN,4,6,6
SYAC_HUMAN,11,8,6
SYCC_HUMAN,1,6,2
SYHM_HUMAN,3,4,3
SYSC_HUMAN,8,8,4
PPM1F_HUMAN,20,5,4
DGKG_HUMAN,10,4,4
TTPA_HUMAN,8,5,2
HXA1_HUMAN,17,6,2
EVX1_HUMAN,5,4,5
MA2A2_HUMAN,3,5,1
PRI1_HUMAN,2,4,4
PRI2_HUMAN,3,4,3
CASP4_HUMAN,17,4,10
KC1E_HUMAN,17,6,7
STAR_HUMAN,7,2,3
CXCR3_HUMAN,23,7,4
PRLHR_HUMAN,4,4,3
GPR15_HUMAN,4,3,3
ARL4D_HUMAN,3,2,3
CTCF_HUMAN,18,10,6
CEBPA_HUMAN,44,13,9
CEBPD_HUMAN,9,5,4
PSB3_HUMAN,1,0,8
PSB2_HUMAN,2,0,9
MCM2_HUMAN,11,9,8
TSP3_HUMAN,4,2,3
COMP_HUMAN,29,9,6
ACADV_HUMAN,8,6,7
ACOT2_HUMAN,4,2,4
VPS41_HUMAN,9,3,14
TMEDA_HUMAN,15,3,18
RBM25_HUMAN,4,2,3
NUMB_HUMAN,8,3,11
RGS6_HUMAN,5,2,6
CLK1_HUMAN,2,6,1
CLK2_HUMAN,5,6,4
CLK3_HUMAN,2,7,6
PLGF_HUMAN,13,4,3
VEGFB_HUMAN,20,6,4
VEGFC_HUMAN,27,3,4
PSN1_HUMAN,87,9,37
EI2BB_HUMAN,11,4,3
FLT3L_HUMAN,3,3,6
HINT1_HUMAN,7,5,8
TIG1_HUMAN,2,1,3
FHIT_HUMAN,4,7,6
NU153_HUMAN,9,7,11
RBP2_HUMAN,10,6,14
RGS19_HUMAN,5,2,5
RGS3_HUMAN,3,2,3
RGS4_HUMAN,14,5,4
RGS7_HUMAN,8,4,6
PSN2_HUMAN,11,1,14
TSC2_HUMAN,25,5,10
NDUV1_HUMAN,4,5,4
GSK3A_HUMAN,48,8,10
GSK3B_HUMAN,75,17,14
STK19_HUMAN,2,3,3
TAF6_HUMAN,14,5,9
KLK7_HUMAN,4,4,5
GRAK_HUMAN,1,2,2
ST1E1_HUMAN,7,6,3
IOD1_HUMAN,4,2,2
MCSP_HUMAN,2,0,3
5NTC_HUMAN,8,9,2
SPS1_HUMAN,3,7,3
SEPP1_HUMAN,8,1,3
ZN165_HUMAN,1,3,1
CAMP_HUMAN,18,1,7
MTHFS_HUMAN,7,4,4
GUAA_HUMAN,4,3,1
DNLI3_HUMAN,12,5,4
DNLI4_HUMAN,35,6,8
CDN1C_HUMAN,8,4,2
MRE11_HUMAN,29,9,11
ENTP1_HUMAN,4,13,4
AGTR2_HUMAN,24,2,1
KHK_HUMAN,7,5,3
HNMT_HUMAN,5,1,5
GNAQ_HUMAN,17,8,9
GBG4_HUMAN,3,1,4
GBG10_HUMAN,2,2,2
IDH3A_HUMAN,3,3,4
MNX1_HUMAN,4,3,5
MEOX1_HUMAN,5,8,3
MEOX2_HUMAN,9,6,4
ST1A1_HUMAN,8,5,2
ST1A2_HUMAN,8,3,2
CRIP1_HUMAN,8,2,1
MMP14_HUMAN,39,6,11
PPOX_HUMAN,6,2,4
NPY4R_HUMAN,1,4,3
GDIB_HUMAN,6,4,11
EMD_HUMAN,10,3,12
5HT6R_HUMAN,6,3,4
CPT1A_HUMAN,23,3,3
GATM_HUMAN,5,2,4
S26A2_HUMAN,5,6,5
SPB8_HUMAN,2,1,5
SPB9_HUMAN,6,3,9
SERPH_HUMAN,5,4,6
LHX2_HUMAN,17,6,2
CSRP3_HUMAN,23,6,6
PDLI4_HUMAN,4,6,15
F10A1_HUMAN,3,3,3
MXI1_HUMAN,2,3,6
PEX5_HUMAN,21,6,9
ERF_HUMAN,2,3,4
ETV1_HUMAN,7,5,2
VASP_HUMAN,6,4,10
ASCL1_HUMAN,54,12,4
DYN2_HUMAN,25,6,25
MAP2_HUMAN,3,6,3
AP4A_HUMAN,5,3,1
TNF10_HUMAN,12,6,4
TUB_HUMAN,10,3,6
CDK7_HUMAN,10,7,13
TOB1_HUMAN,9,3,3
BPL1_HUMAN,3,5,6
KNTC1_HUMAN,7,1,8
RASF2_HUMAN,16,1,8
CDK9_HUMAN,19,14,8
LRBA_HUMAN,3,1,6
R144A_HUMAN,5,3,7
BCAM_HUMAN,3,3,5
PPT1_HUMAN,25,4,17
RL14_HUMAN,4,3,7
TCPQ_HUMAN,8,6,15
TCPD_HUMAN,9,6,10
AT1A2_HUMAN,50,11,15
ANX11_HUMAN,3,8,16
PAPOA_HUMAN,3,5,3
FXR1_HUMAN,24,9,17
FXR2_HUMAN,8,6,8
GRAM_HUMAN,5,2,2
RAB5C_HUMAN,3,4,10
RAB7A_HUMAN,27,6,22
RAB9A_HUMAN,6,3,12
RAB13_HUMAN,15,2,17
RAB28_HUMAN,1,3,5
RB27A_HUMAN,20,6,16
PDE6C_HUMAN,4,6,1
FABP6_HUMAN,3,2,4
ATP4B_HUMAN,8,3,4
SCNNB_HUMAN,26,2,6
SCNNG_HUMAN,12,4,6
SCNND_HUMAN,10,1,4
PLCD1_HUMAN,5,6,3
DAP1_HUMAN,9,1,0
RT29_HUMAN,2,3,4
RORG_HUMAN,16,9,4
BLK_HUMAN,8,4,2
DUS3_HUMAN,15,9,7
INSL3_HUMAN,11,5,3
MMP15_HUMAN,7,4,3
MMP16_HUMAN,9,4,5
NOVA1_HUMAN,6,4,5
DNA2_HUMAN,16,13,6
SMCA2_HUMAN,22,10,11
SMCA4_HUMAN,31,15,16
IDH3G_HUMAN,3,4,4
GALK1_HUMAN,4,3,4
SSRD_HUMAN,0,0,4
BAP31_HUMAN,11,2,13
P2RX1_HUMAN,16,8,9
TPMT_HUMAN,4,2,1
P2RY4_HUMAN,8,3,5
BRCA2_HUMAN,27,6,11
CP2J2_HUMAN,7,11,4
RENBP_HUMAN,5,4,2
MECP2_HUMAN,77,19,9
HCFC1_HUMAN,10,6,12
IRAK1_HUMAN,27,11,9
CAV2_HUMAN,25,7,14
AL3A2_HUMAN,8,6,6
SSDH_HUMAN,6,2,3
GPC3_HUMAN,35,1,7
DHB4_HUMAN,8,9,5
PSMD7_HUMAN,1,1,10
UB2D1_HUMAN,9,5,6
CCL11_HUMAN,28,5,2
GPM6A_HUMAN,9,1,11
CCR3_HUMAN,11,3,3
CCR4_HUMAN,11,3,3
CCR5_HUMAN,19,9,5
CCR6_HUMAN,19,4,7
CCR8_HUMAN,7,4,2
CCR9_HUMAN,8,3,3
SUOX_HUMAN,1,4,3
SPHM_HUMAN,4,3,3
ARSL_HUMAN,1,2,4
STA5B_HUMAN,54,9,6
APLP1_HUMAN,13,6,5
UBP11_HUMAN,2,3,4
KCNQ1_HUMAN,50,13,19
CLCN2_HUMAN,12,3,9
CLCN3_HUMAN,11,6,25
CLCN4_HUMAN,3,4,13
CLCN5_HUMAN,4,4,10
CLCN6_HUMAN,5,4,5
CLCN7_HUMAN,1,5,4
CLCKA_HUMAN,3,4,3
CLCKB_HUMAN,4,3,3
PLXA3_HUMAN,18,1,2
DYLT3_HUMAN,4,2,5
VAMP7_HUMAN,12,2,22
GP143_HUMAN,11,5,8
XK_HUMAN,7,1,3
KS6A3_HUMAN,13,9,5
BMX_HUMAN,10,4,4
ZNF41_HUMAN,1,3,1
AFF2_HUMAN,8,1,1
PRKX_HUMAN,14,4,3
AFF1_HUMAN,1,0,2
AFF3_HUMAN,3,2,5
ADCY7_HUMAN,9,3,2
GUC2F_HUMAN,7,9,4
NR0B1_HUMAN,17,8,9
TKTL1_HUMAN,2,3,1
AK1D1_HUMAN,6,6,1
HDGF_HUMAN,6,10,7
TDGF3_HUMAN,6,3,3
CASP5_HUMAN,7,2,3
LUM_HUMAN,4,3,8
PRELP_HUMAN,2,3,8
CNN1_HUMAN,4,2,3
CCNH_HUMAN,4,1,7
MAT1_HUMAN,12,2,6
NEK2_HUMAN,15,7,12
NEK3_HUMAN,6,5,3
NEK4_HUMAN,6,5,6
CCNG1_HUMAN,7,1,7
UB2E1_HUMAN,6,4,4
NDUA8_HUMAN,4,2,4
ROA3_HUMAN,1,2,4
FUT6_HUMAN,9,3,6
MYOM1_HUMAN,5,4,2
RND2_HUMAN,7,3,4
6PGD_HUMAN,4,2,3
HNRPM_HUMAN,2,3,11
IMA1_HUMAN,7,4,10
IMA5_HUMAN,8,2,9
NCBP2_HUMAN,19,6,6
GDS1_HUMAN,12,1,5
JAK3_HUMAN,31,5,7
DGKE_HUMAN,7,4,6
RPAB3_HUMAN,3,2,7
RPB11_HUMAN,1,5,3
MP2K6_HUMAN,24,7,4
GDIR1_HUMAN,6,2,7
GDIR2_HUMAN,4,4,6
CTR2_HUMAN,8,6,2
AGFG1_HUMAN,4,4,5
HNRPF_HUMAN,3,2,8
STAT2_HUMAN,11,5,8
TF2AA_HUMAN,4,7,6
T2AG_HUMAN,5,6,5
MSH6_HUMAN,13,9,7
KIF11_HUMAN,9,5,9
VAV2_HUMAN,14,4,3
ZN133_HUMAN,2,4,1
ZN140_HUMAN,2,6,1
ZN131_HUMAN,3,4,2
ZN135_HUMAN,3,3,1
ZN138_HUMAN,1,3,1
ZN143_HUMAN,7,5,1
RBM5_HUMAN,7,4,3
CHIO_HUMAN,3,2,3
RIDA_HUMAN,5,6,7
SPSY_HUMAN,3,1,2
HXK2_HUMAN,19,5,7
HXK3_HUMAN,7,5,5
EFNA3_HUMAN,6,2,2
EFNA4_HUMAN,3,2,3
EFNB2_HUMAN,22,2,7
EFNA5_HUMAN,20,6,6
RM12_HUMAN,4,3,4
STC1_HUMAN,19,2,4
DGKQ_HUMAN,24,8,13
NDST1_HUMAN,16,4,3
NDST2_HUMAN,5,4,3
THOP1_HUMAN,3,2,2
AK1C2_HUMAN,12,10,1
CAZA1_HUMAN,4,3,8
HMGA2_HUMAN,35,15,6
PDX1_HUMAN,37,6,5
NUP98_HUMAN,10,8,12
GBX2_HUMAN,14,7,2
NKX25_HUMAN,65,12,9
LBX1_HUMAN,10,2,3
NAR1_HUMAN,0,3,4
BIEA_HUMAN,1,5,2
TXTP_HUMAN,2,4,4
PPP5_HUMAN,11,12,7
PLK1_HUMAN,47,9,17
DAPK1_HUMAN,19,10,7
ARFP2_HUMAN,8,9,8
ARFP1_HUMAN,4,3,3
NUDT6_HUMAN,2,3,3
NUBP1_HUMAN,7,7,6
ACLY_HUMAN,7,3,7
CO4A4_HUMAN,1,3,6
FOSB_HUMAN,15,5,5
CEBPG_HUMAN,15,8,4
MAP11_HUMAN,6,5,3
SUCA_HUMAN,2,4,4
MVD1_HUMAN,4,4,1
PGTB1_HUMAN,1,3,1
PGTB2_HUMAN,3,3,3
COPB_HUMAN,3,1,14
COPA_HUMAN,5,2,10
CATC_HUMAN,8,9,13
LIMK1_HUMAN,12,7,12
LIMK2_HUMAN,11,5,6
CRBA2_HUMAN,2,2,0
CRBA4_HUMAN,3,2,0
CRBB1_HUMAN,2,1,0
CLH2_HUMAN,6,2,13
AP3M2_HUMAN,8,0,11
AP2S1_HUMAN,7,1,11
CCHL_HUMAN,3,3,4
ITA8_HUMAN,19,2,12
MK12_HUMAN,11,5,5
MK10_HUMAN,8,4,6
SC5A3_HUMAN,13,8,6
PTTG_HUMAN,4,1,5
RPAB4_HUMAN,4,3,6
TTC3_HUMAN,2,2,5
RCAN1_HUMAN,8,3,2
SMTN_HUMAN,3,2,5
PLAT3_HUMAN,13,7,13
MOT1_HUMAN,15,8,11
IST1_HUMAN,11,5,11
SC24C_HUMAN,4,2,5
TCP4_HUMAN,5,5,5
DPOG1_HUMAN,6,7,7
ICLN_HUMAN,5,1,8
CRIS1_HUMAN,3,1,2
CRIS3_HUMAN,2,0,6
BLM_HUMAN,27,23,13
SYRC_HUMAN,2,5,8
HIRA_HUMAN,8,3,7
VMAT1_HUMAN,5,4,6
ATX3_HUMAN,21,6,12
ATX1_HUMAN,9,4,7
HAP1_HUMAN,26,4,18
ATN1_HUMAN,12,3,6
TERF1_HUMAN,18,9,10
PMS1_HUMAN,2,6,2
PMS2_HUMAN,6,6,4
CACB3_HUMAN,9,3,5
CA2D1_HUMAN,12,2,8
MYOM2_HUMAN,3,2,3
LIPR1_HUMAN,1,2,1
LIPR2_HUMAN,6,6,4
OAZ1_HUMAN,5,1,3
SYYC_HUMAN,3,6,5
UBP14_HUMAN,9,6,9
AAKG1_HUMAN,9,8,6
AAPK2_HUMAN,36,11,11
HSP72_HUMAN,13,11,12
BCAT1_HUMAN,5,5,2
AT12A_HUMAN,6,5,6
AT1B3_HUMAN,13,3,7
ATNG_HUMAN,8,3,3
RD23A_HUMAN,7,7,8
RD23B_HUMAN,6,8,5
PDE1A_HUMAN,4,6,2
EPHB3_HUMAN,20,4,4
EPHA5_HUMAN,10,4,7
EPHB4_HUMAN,6,3,5
EPHB1_HUMAN,25,4,11
EPHA4_HUMAN,46,12,19
ANAG_HUMAN,50,1,3
GALC_HUMAN,3,1,2
KAD2_HUMAN,5,2,5
PRRX1_HUMAN,18,7,4
PTN5_HUMAN,2,3,6
GYS2_HUMAN,2,2,5
NRL_HUMAN,5,7,5
EMP1_HUMAN,3,0,2
EMP2_HUMAN,29,3,12
EMP3_HUMAN,2,0,1
UDB15_HUMAN,4,1,1
HMCS2_HUMAN,29,2,2
P5CS_HUMAN,7,5,2
SNAA_HUMAN,10,4,7
ADPRH_HUMAN,2,3,1
SLUR1_HUMAN,8,2,3
MFAP2_HUMAN,4,2,3
AIF1_HUMAN,27,2,10
IF5_HUMAN,3,7,4
S12A2_HUMAN,29,8,16
S12A3_HUMAN,13,3,5
PSMD4_HUMAN,1,4,6
DRG2_HUMAN,2,4,6
GEM_HUMAN,7,6,6
RAD_HUMAN,2,4,2
NR1H2_HUMAN,28,10,6
APOC4_HUMAN,3,1,3
PLTP_HUMAN,9,20,4
XPO2_HUMAN,2,2,7
BI1_HUMAN,14,3,7
AQP5_HUMAN,8,2,7
TERA_HUMAN,49,17,23
IOD3_HUMAN,8,2,3
FGF8_HUMAN,69,4,4
MFAP1_HUMAN,1,1,6
MFAP3_HUMAN,3,2,3
MFAP4_HUMAN,6,0,5
ECHB_HUMAN,3,7,7
PAR2_HUMAN,54,7,4
AQP4_HUMAN,7,2,8
UCN1_HUMAN,36,4,5
GDF10_HUMAN,9,2,2
MANF_HUMAN,5,3,7
MTP_HUMAN,15,12,9
NCKPL_HUMAN,38,4,7
AFAD_HUMAN,13,4,10
AF10_HUMAN,2,5,3
AF17_HUMAN,9,3,1
ELL_HUMAN,7,2,8
BRPF1_HUMAN,6,3,7
NP1L1_HUMAN,6,4,5
CASP7_HUMAN,17,7,5
CASP9_HUMAN,24,8,7
CASP6_HUMAN,13,5,4
GP2_HUMAN,3,1,10
ADK_HUMAN,8,5,4
DSRAD_HUMAN,25,6,8
LAMB2_HUMAN,14,4,10
CDN2D_HUMAN,14,2,5
CADH4_HUMAN,12,3,3
CADH6_HUMAN,10,3,6
CADH8_HUMAN,11,4,7
CAD11_HUMAN,15,3,8
CAD12_HUMAN,7,3,3
CAD13_HUMAN,26,7,14
CAD15_HUMAN,8,3,7
FOXG1_HUMAN,15,3,3
FOXA1_HUMAN,33,9,5
FOXA3_HUMAN,10,6,4
TPD52_HUMAN,3,2,3
LMIP_HUMAN,2,1,3
ANM2_HUMAN,11,14,5
PKNX1_HUMAN,7,5,4
SEC13_HUMAN,11,2,12
NH2L1_HUMAN,5,6,11
PAX9_HUMAN,7,4,3
CCL23_HUMAN,13,4,2
CCL18_HUMAN,10,2,1
PSA_HUMAN,5,4,6
ALR_HUMAN,9,4,4
HNRH2_HUMAN,1,1,6
SCOT1_HUMAN,3,1,2
UCP2_HUMAN,25,11,2
SUMO3_HUMAN,3,2,5
EIF3B_HUMAN,5,4,8
RAG2_HUMAN,14,9,2
FCGRN_HUMAN,2,2,3
UCP3_HUMAN,16,2,2
BID_HUMAN,23,3,4
ATPK_HUMAN,3,0,5
GFRA1_HUMAN,8,5,10
DLX1_HUMAN,24,4,5
DLX5_HUMAN,22,6,3
TPTE_HUMAN,2,3,2
NDUV3_HUMAN,4,2,3
RRP1_HUMAN,1,1,4
SYMC_HUMAN,6,3,6
ITA1_HUMAN,13,5,11
CATW_HUMAN,2,2,5
ARP19_HUMAN,6,6,2
MAZ_HUMAN,10,4,1
TCL1A_HUMAN,1,3,3
DPOE2_HUMAN,4,2,4
P2RX3_HUMAN,19,3,6
AP1S2_HUMAN,4,1,11
ATP5E_HUMAN,2,2,5
LEG4_HUMAN,2,2,4
HDAC4_HUMAN,24,11,8
IF6_HUMAN,13,3,9
CAV3_HUMAN,61,9,14
CTBP2_HUMAN,8,10,3
NDUA6_HUMAN,5,1,4
TM50B_HUMAN,1,0,4
ARL4C_HUMAN,2,3,6
PEX3_HUMAN,2,2,7
NDK5_HUMAN,12,2,5
PER3_HUMAN,5,4,2
SOX10_HUMAN,29,11,4
KCNQ4_HUMAN,4,2,3
WNT3_HUMAN,26,4,9
WNT3A_HUMAN,70,8,12
WNT4_HUMAN,60,4,10
WNT7B_HUMAN,39,3,7
RP1_HUMAN,12,1,7
NETR_HUMAN,2,2,9
CLD15_HUMAN,7,3,4
CLD6_HUMAN,3,3,3
CLD8_HUMAN,3,2,5
CLD17_HUMAN,4,5,5
BACE1_HUMAN,16,7,20
EP3B_HUMAN,0,0,1
CLD18_HUMAN,16,2,4
CLD20_HUMAN,3,2,5
GSC_HUMAN,11,5,3
DHB7_HUMAN,3,3,2
BCAR1_HUMAN,23,2,8
STX17_HUMAN,10,4,14
NRG3_HUMAN,11,5,4
RBM11_HUMAN,5,3,3
H2BFS_HUMAN,5,3,5
PIGP_HUMAN,1,1,3
DSCR6_HUMAN,6,0,1
G6PT2_HUMAN,2,1,2
SIK1_HUMAN,15,9,2
PRD15_HUMAN,6,5,3
SOX8_HUMAN,37,5,4
UBS3A_HUMAN,2,0,5
CF298_HUMAN,2,0,4
